SampleID;x1;x2;y;RandomEffect
1;14.4;13.37333333;0.1236;8075
2;29.33333333;14.41935484;0.060544;8075
3;170;14.7516129;2.740368513;8075
4;136;19.25483871;10.01915032;4145
5;130;16.41612903;0.676036296;4145
6;86;16.56774194;4.335758344;4145
7;100;15.03225806;0.006431317;8327
8;65;13.54666667;0;8327
9;32;13.23;0.6516645;8062
10;290;15.2516129;0.299812433;8062
11;2;17.75483871;0.07908;4148
12;5;17.17096774;0.207895665;4148
13;7;18.39354839;0.03309;4148
14;6;19.88709677;0.055180823;4148
15;9;18.69677419;0.07427;4148
16;8;16.59677419;0.03427;4148
17;4;17.99354839;0.060756063;4148
18;22;17.97096774;0.23451;4142
19;25;17.42258065;0.09062;4142
20;21;15.94516129;0.08409;4142
21;24;18.38387097;0.23073;4142
22;21;20.16451613;0.077656053;4142
23;30;16.72903226;0.152139765;4142
24;29;16.55483871;0.16581;4142
25;11;17.16451613;0.180797282;4142
26;131;17.0483871;1.18973;4140
27;64;16.70645161;0.90687;4140
28;127;18.06129032;27.80183744;4140
29;90;17.21935484;4.04562;4140
30;209;20.37419355;3.632023582;4140
31;59;17.74193548;26.20543503;4140
32;67;17.63548387;0.87821;4140
33;160;14.77741935;9.229162164;8329
34;135;15.04516129;8.271051859;8329
35;35;15.08064516;2.735528813;8330
36;105;17.10322581;1.572693511;8330
37;50;14.71;1.284315401;8330
38;45;13.23;2.923376837;8330
39;50;14.27741935;0.126096879;8330
40;35;15.2516129;0.412199508;8330
41;40;13.78333333;1.414242398;8330
42;32;17.59354839;0.247509075;8027
43;54;15.91612903;11.0875;8004
44;750;23.36774194;0.010201327;6778
45;500;23.43870968;0;6778
46;20;13.38666667;0.00884;8097
47;93;15.10645161;0.000677336;8097
48;103.3333333;13.36666667;0.00074;8095
49;276;12.95666667;0.865045;8080
50;343.3333333;14.53548387;1.32728;8080
51;25;15.0483871;0.272366;8086
52;21;17.23548387;0.12014;4151
53;46;16.8483871;0.33631;4151
54;32;20.00322581;0.373645653;4151
55;47;17.31290323;0.98883;4151
56;33;17.63225806;0.238465164;4151
57;39;16.19354839;0.20815;4151
58;30;17.96451613;0.157461363;4151
59;27;17.83548387;0.07612;4151
60;4100;18.09354839;0.042033124;7899
61;280;18.65806452;0;7932
62;49;15.89354839;0.060664203;7911
63;33;16.24516129;0.017008559;7970
64;355;16.74193548;0.857555292;8279
65;361;16.71612903;1.565610887;8279
66;51;17.06129032;5.732;7987
67;69;19.31290323;0.115758;8210
68;20;16.72580645;4.223530524;8003
69;23;16.76129032;2.457;8003
70;34;19.21290323;5.592469673;7990
71;12;18.5516129;0.168652655;8017
72;35;18.5516129;0.009393081;7996
73;16;18.48709677;0.00224923;8044
74;215;16.18064516;0.398388191;8266
75;194;13.24666667;1.178149963;8266
76;212;16.17741935;2.795720695;8266
77;17;18.80967742;0.370475549;7989
78;22;16.64193548;3.1368;8046
79;22;16.19032258;0.9222;8010
80;30;16.66774194;0.0091;8016
81;19;16.83548387;0.6968;8025
82;18;16.53548387;0;8026
83;40;18.18064516;0.052944846;8023
84;210;15.06129032;16.36143346;8332
85;105;15.30322581;20.33003587;8332
86;25;15.14193548;0.053879667;8341
87;35;13.04;1.594067383;8341
88;20;14.17419355;0.676243189;8341
89;50;14.59;0.529711902;8341
90;30;16.86129032;0.000235619;8341
91;20;13.67;0.006626962;8341
92;20;15.22258065;0.01725496;8341
93;46;17.47096774;5.868869565;7985
94;20;16.28064516;0.007626634;8011
95;15;16.54193548;0.0329;8045
96;17;18.1;0.004503938;7994
97;27;17.23870968;0.228448579;8030
98;16;16.82258065;0.0051;8029
99;98.7;16.42258065;0;8265
100;51.4;16.56129032;0;8265
101;325;17.63870968;0.163954693;8334
102;18.6;14.88709677;0.017121573;8318
103;21.5;12.02333333;0.028916348;8318
104;18.45;15.11290323;0.093456911;8318
105;50;13.67666667;4.568890918;8342
106;85;14.50333333;0.81926901;8342
107;70;13.02666667;1.216974895;8342
108;70;15.09354839;0.595004558;8342
109;65;17.05806452;15.19076351;8342
110;60;14.18387097;4.658343009;8342
111;70;15.02903226;0.319196286;8342
112;17;17.83870968;0.016424101;8042
113;160;16.57419355;47.472;8234
114;38;16.80645161;0.000395698;8020
115;58;17.16451613;0.211071294;8012
116;26;17.03870968;0.4098;8036
117;70.5;15.64193548;0.509511897;8316
118;46.2;12.73666667;0;8316
119;79;14.67096774;0.0478;8316
120;71.4;14.73870968;0.534306;8316
121;98.1;12.85333333;0;8316
122;20;15.16774194;0.209671588;8337
123;35;15.48709677;0.047249554;8337
124;25;13.95;0.000907845;8337
125;220;17.76774194;0.215537186;7937
126;15;16.6483871;0.0738;8047
127;113;14.63870968;0.018924602;8310
128;110;11.88666667;6.202982813;8310
129;180;14.87419355;9.512242653;8310
130;737;17.8516129;32.16070592;7900
131;17;19.46451613;0.310649875;7988
132;27;17.38709677;0;8034
133;776;14.63870968;2.421692855;8309
134;759;14.87419355;0.265054193;8309
135;549.5;11.88666667;0.523204458;8309
136;21;17.03870968;0.9687;7986
137;86.2;15.5;2.708756389;8315
138;170;14.20322581;0.01802;8315
139;26;16.96774194;0.003979008;8028
140;470;15.40322581;0.088647399;8331
141;535;14.95483871;0.486970453;8331
142;840;15.50645161;0.608987974;8331
143;25;18.60967742;0.03216492;8006
144;20;15.18387097;0.066385531;8339
145;10;16.87741935;0.492392531;8339
146;25;13.37333333;9.80203705;8339
147;25;14.21935484;0.103181896;8339
148;20;14.05;0.018316426;8339
149;20;14.7516129;0.132473771;8339
150;70.1;13.89;0.016662478;8262
151;42.25;15.84516129;0.077872453;8262
152;39.5;15.99677419;0.620215378;8262
153;26.6;12.02333333;0.014749293;8319
154;46.2;14.88709677;0.011441604;8319
155;49.3;15.11290323;0.111638142;8319
156;93.8;13.89;0.002837013;8322
157;124;15.84516129;0;8322
158;93.9;15.99677419;0.000582541;8322
