SampleID;x1;x2;y;RandomEffect ; 
R 333;2.9;2;38;;
R 334;3.2;2;29;;
R 335;3.2;3;46;;
R 336;3.2;4;31;;
R 338;3;7;15;;
R 339;3.5;-1;30;;
R 340;3;1;32;;
R 346;2.7;2;24;;
R 347;2.8;-1;49;;
R 351;3.6;-1;33;;
R 355;3.5;-2;23;;
R 392;2.8;0;43;;
R 393;2.8;4;48;;
R 402;3;-1;51;;
R 403;2.7;-1;54;;
R 406;3;-1;50;;
R 410;3.5;-1;51;;
R 420;3;0;40;;
R 439;3.4;0;31;;
R 443;3.3;2;15;;
R 449;2.9;-1;58;;
R 458;3.3;2;36;;
R 476;3.2;-1;31;;
R 484;3;-3;50;;
R 486;2.9;-2;31;;
R 488;3;3;32;;
R 498;2.9;3;28;;
R 499;2.9;4;39;;
R 502;2.8;1;39;;
R 504;3.1;0;41;;
R 505;3.1;-1;30;;
R 509;3;-1;29;;
R 514;3.7;1;37;;
R 515;3.2;-6;63;;
R 516;3.6;-3;50;;
R 520;3;-1;46;;
R 522;2.8;-2;43;;
R 824;2.7;2;43;;
R 836;3.3;0;38;;
R 837;2.8;-4;44;;
R 839;3.1;3;33;;
R 844;3.4;4;16;;
R 855;3;-2;31;;
R 857;3.1;-4;37;;
R 866;2.7;-1;33;;
R 871;2.9;0;31;;
R 872;2.6;1;45;;
R 874;2.9;0;44;;
R 875;2.8;-3;43;;
R 878;3;1;26;;
R 880;3.9;1;59;;
R 882;2.5;0;49;;
R 883;3.2;1;30;;
R 884;3;0;36;;
R 885;2.8;-1;38;;
R 892;3;2;23;;
R 893;3.4;5;22;;
R 896;2.8;0;51;;
R 908;2.6;2;41;;
R 922;3.7;2;47;;
R1019;3.5;5;32;;
R1020;4;3;26;;
R1021;3.4;4;28;;
R1022;3.6;3;38;;
R1023;3.4;6;0;;
R1027;3.9;1;39;;
R1035;3.9;1;21;;
R1037;3.3;2;50;;
R1040;3.8;1;39;;
R1041;3.8;-1;28;;
R1042;3.6;3;23;;
R1046;3.2;0;36;;
R1047;4.1;1;44;;
R1050;3.2;3;19;;
R1051;3.4;0;30;;
R1053;3.7;0;39;;
R1055;3.8;-1;51;;
R1057;3.5;4;23;;
R1065;3.1;0;48;;
R1066;3.4;3;33;;
R1068;3.5;0;45;;
R1072;2.7;2;37;;
R1080;3;3;50;;
R1084;2.5;1;35;;
R1087;2.9;2;38;;
R1096;2.8;4;39;;
R1101;3.4;3;16;;
R1102;2.9;2;51;;
R1108;3;3;34;;
R1133;2;0;49;;
R1139;2.3;2;32;;
R1155;3.8;3;28;;
R1167;3.7;3;33;;
R1171;2.7;3;18;;
R1185;2.6;1;39;;
R1212;3;0;47;;
R1213;2.6;2;27;;
R1266;2.8;1;34;;
R1347;2.6;0;51;;
R1349;2.8;2;31;;
