SampleID;x1;x2;y;RandomEffect1;RandomEffect2
172;82;53.1;0.969189217;7957;M
173;40;31.8;5.029444694;7748;S
174;30;31.8;5.655050155;7748;S
175;30;31.8;1.872630579;7748;S
176;33;63.3;3.686607612;7772;S
177;27;63.3;2.796620931;7772;S
178;130;79.4;0.803562;8248;S
179;37;28.8;13.68866724;7865;M
180;70;28.8;14.63177012;7865;M
181;34;28.8;7.088786315;7865;M
182;50;31.8;3.490007413;7854;S
183;40;31.8;2.430082609;7854;S
184;40;31.8;2.067308091;7854;S
185;29;26.4;24.2248346;7835;M
186;39;26.4;22.1785673;7835;M
187;46;26.4;5.8280813;7835;M
188;1008;44.2;18.05001757;7703;M
189;47;41.5;1.726780479;7894;M
190;47;96.6;2.482432619;7693;S
191;59;96.6;1.578206754;7693;S
192;34;96.6;0.760573418;7693;S
193;44;84.3;20.756172;7717;M
194;52;84.3;17.82656252;7717;M
195;20;35.2;4.613286508;7722;M
196;34;35.2;2.556605154;7722;M
197;40;35.2;0.004226832;7722;M
198;47;33.3;5.193930782;7722;M
199;31;33.3;3.415412094;7722;M
200;38;33.3;0.407089682;7722;M
201;30;63.3;0.043483363;7829;S
202;30;63.3;0.010146118;7829;S
203;44;59.4;2.23408;8236;VS
204;1235;76.4;0.308495764;8291;VS
205;1225;76.4;4.894282616;8291;VS
206;1260;76.4;0.027912808;8291;VS
207;1270;24.5;6.449394341;8291;VS
208;1170;24.5;0.976455929;8291;VS
209;1000;24.5;15.63981999;8291;VS
210;33;28.5;0.227238845;7819;S
211;61;28.5;0;7819;S
212;105;50.3;7.968127903;7684;S
213;111;50.3;1.07624161;7684;S
214;136;64.7;7.368099064;7872;M
215;89;64.7;6.926556241;7872;M
216;25;25.8;0.105595819;7771;S
217;22;25.8;0.100364502;7771;S
218;107;43.8;5.055544868;8274;VS
219;104;43.8;0.003565485;8284;VS
220;114;43.8;0;8284;VS
221;97.5;43.8;0.450905734;8284;VS
222;70;30.6;6.484282673;7665;M
223;50;30.6;11.1831346;7665;M
224;20;30.6;0.487165008;7665;M
225;43;49.9;12.34844043;7789;M
226;46;49.9;11.0961344;7789;M
227;114;28.8;23.95645234;7794;S
228;112;28.8;20.18735062;7794;S
229;100;28.8;34.5303811;7794;S
230;74;42.2;3.806179167;7924;M
231;80;58.9;7.62253;8231;S
232;227;58.9;0.309425;8231;S
233;15;58.9;0.735165;8231;S
234;26.97246328;1.2;0.301617087;8525;M
235;34.65353805;1.2;0.280623916;8525;M
236;26.54556075;1.2;0.231276389;8525;M
