SampleID;x1;x2;y;RandomEffect
1;2;11;58.8;D
2;2;11;43.8;D
3;2;11;84;N
4;2;11;17.9;D
5;2;11;38.1;N
6;2;11;6.4;D
7;2;3.5;41.2;D
8;2;3.5;28.6;D
9;2;3.5;95.7;N
10;2;11;8.9;D
11;2;3.5;50;N
12;2;3.5;55.9;D
13;2;11;71.4;N
14;2;11;26.1;D
15;2;3.5;47.8;D
16;2;3.5;32.8;D
17;2;3.5;68.6;N
18;2;11;49;N
19;2;11;70;N
20;2;3.5;68.2;N
21;2;3.5;46.7;D
22;2;11;70.8;D
23;2;11;14.5;D
24;2;3.5;3.3;D
25;2;11;50;N
26;2;3.5;36.5;N
27;2;11;19;D
28;2;3.5;16.9;D
29;1;11;8.6;N
30;1;11;2.3;N
31;1;3.5;2.6;N
32;1;3.5;10.2;N
33;1;11;5.8;N
34;1;3.5;14;N
35;1;11;6.7;N
36;1;11;12.2;N
37;1;3.5;12.7;N
38;1;3.5;2.4;N
39;1;11;0;N
40;1;11;8.2;D
41;1;3.5;13.3;D
42;1;11;0;D
43;1;3.5;7;D
44;1;11;5.1;D
45;1;3.5;2.3;D
46;1;11;3.5;D
47;1;3.5;0;D
48;1;11;11.8;D
49;1;11;4.4;D
50;1;3.5;8.3;D
51;1;3.5;2.2;D
