SampleID;x1;x2;y;RandomEffect ; 
NW_285705_28.03.2007;0.004375;0.973102426;0.189338;T5;
NW_282601_21.03.2007;0.006786;0.973102426;0.210685;T5;
NW_281505_21.03.2007;0.007;0.973102426;0.237575;T5;
NW_228175_14.06.2006;0.00875;0.54556297;0.305495;T5;
NW_420323_28.05.2008;0.01;0.633891585;0.321155;T5;
NW_410020_19.09.2006;0.01;0.667620922;0.248679;T5;
NW_414207_24.04.2008;0.01;0.656287746;0.285934;T5;
NW_686141_02.05.2006;0.01;0.667620922;0.351137;T5;
NW_686499_08.05.2008;0.01;0.769657322;0.245183;T5;
NW_410305_23.07.2007;0.01;0.667620922;0.266673;T5;
NW_411309_16.04.2009;0.01;0.667620922;0.352713;T5;
NW_685781_19.05.2009;0.01;0.701344929;0.250057;T5;
NW_630809_27.09.2005;0.01;0.845706456;0.22833;T5;
NW_630809_25.04.2005;0.01;0.845706456;0.22833;T5;
NW_630408_22.09.2005;0.01;0.845706456;0.244401;T5;
NW_630408_13.04.2005;0.01;0.845706456;0.244401;T5;
NW_629145_28.09.2005;0.01;0.845706456;0.362217;T5;
NW_629145_03.05.2005;0.01;0.845706456;0.362217;T5;
NW_686189_14.04.2009;0.010313;0.667620922;0.334186;T5;
NW_200955_02.04.2009;0.0105;0.937682812;0.242945;T5;
NW_200955_08.05.2008;0.0105;0.937682812;0.279944;T5;
NW_430924_26.04.2007;0.0115;0.633891585;0.28018;T5;
NW_412200_29.04.2009;0.013333;0.667620922;0.291149;T5;
NW_461003_05.06.2007;0.013687;0.665762172;0.289103;T5;
NW_433100_19.04.2007;0.013687;0.828025696;0.247475;T5;
NW_433007_19.04.2007;0.013687;0.828025696;0.231713;T5;
NW_431000_02.05.2007;0.013687;0.633891585;0.289616;T5;
NW_442203_11.07.2007;0.013687;0.906132861;0.255775;T5;
NW_441806_18.04.2007;0.013687;0.906132861;0.330274;T5;
NW_442800_28.06.2007;0.013687;0.906132861;0.317186;T5;
NW_519856_27.03.2007;0.013687;0.868911114;0.231796;T5;
NW_519406_29.03.2007;0.013687;0.868911114;0.177849;T5;
NW_451903_04.06.2007;0.014872;0.885999755;0.275876;T5;
NW_460205_18.06.2007;0.014872;0.665762172;0.278859;T5;
NW_228199_14.06.2006;0.015;0.54556297;0.260458;T5;
NW_685598_19.05.2009;0.015;0.769657322;0.277433;T5;
HE_10339_24.04.2008;0.015267;0.768758557;0.355157;T5.1;
NW_441703_23.04.2007;0.016057;0.906132861;0.274235;T5;
NW_228175_17.04.2008;0.016097;0.54556297;0.161272;T5;
NW_430602_18.05.2004;0.016215;0.633891585;0.237384;T5;
