SampleID;x1;x2;y;RandomEffect
D0100012;39.291;100;0.525587538;2
D0100021;60;70;0.506057979;1
D0100022;107.58;70;0.531084965;2
D0100031;12.1;85;0.575554864;1
D0100032;20.579;95;0.644731883;2
D0100041;90;100;0.554398207;1
D0100042;56;100;0.483356137;2
D0100061;397;100;0.532124703;1
D0100062;388.21;95;0.42475801;2
D0100071;621;95;0.586408342;1
D0100072;555.2;95;0.408624547;2
D0100081;239;100;0.423204359;1
D0100082;438.4;95;0.472751888;2
D0100091;80;50;0.436961542;1
D0100092;122.07;20;0.520520746;2
D0100101;430;40;0.528592309;1
D0100102;353.54;30;0.447384773;2
D0100111;9;20;0.611286055;1
D0100112;16.147;25;0.568252623;2
D0100121;81;70;0.450304487;1
D0100122;67.309;75;0.52810354;2
D0100141;250;35;0.29281896;1
D0300011;59.5;90;0.560627889;1
D0300012;90.626;95;0.524834498;2
D0300013;89;100;0.570328655;3
D0300021;36.7;95;0.541819608;1
D0300022;79.24;95;0.632289929;2
D0300023;58;95;0.536151781;3
D0300031;6.2;100;0.52449424;1
D0300032;14.877;100;0.509883738;2
D0300033;12;100;0.564809317;3
D0300041;42.9;100;0.599932108;1
D0300042;294.72;100;0.510575026;2
D0300043;99;100;0.654416396;3
D0300051;11.2;90;0.670828733;1
D0300052;309.73;100;0.593056669;2
D0300053;68;100;0.594984137;3
D0300061;79.3;95;0.644629544;1
D0300062;301.68;80;0.535877536;2
D0300063;457;95;0.596023104;3
D0300071;24.4;80;0.494819071;1
D0300072;8.432;75;0.588374748;2
D0300073;8;70;0.606741634;3
D0300081;170;100;0.62456186;1
D0300082;108.57;100;0.49558292;2
D0300083;108;100;0.47073203;3
D0300101;47.8;50;0.541820996;1
D0300102;222.22;95;0.553461491;2
D0300103;72;30;0.605307954;3
D0300111;40.7;100;0.46843088;1
D0300112;66.091;100;0.380869215;2
D0300113;64;100;0.439876572;3
D0300121;229.2;100;0.5028165;1
D0300122;786.22;100;0.442897432;2
D0300123;300;100;0.584534791;3
D0300131;96;95;0.34563687;1
D0300132;680.73;90;0.380523614;2
D0300133;539;95;0.386884962;3
D0300141;59.5;85;0.48401297;1
D0300142;258.63;90;0.432789776;2
D0300143;157;95;0.509225682;3
D0300151;182;95;0.471600674;1
D0300152;452.06;85;0.412182981;2
D0300153;189;95;0.434919154;3
D0300161;146;60;0.451109746;1
D0300162;729.53;65;0.450309615;2
D0300163;251;50;0.452123397;3
D0300171;34.3;90;0.42832688;1
D0300172;210.62;95;0.353056879;2
D0300173;209;95;0.413553747;3
D0300181;15.2;100;0.49805649;1
D0300182;223.66;80;0.504269973;2
D0300183;169;90;0.49253558;3
D0300191;37.5;85;0.441335909;1
D0300192;32.164;80;0.442299124;2
D0300193;32;80;0.50055382;3
N1300241;40;55;0.45363691;1
N1300243;40;55;0.507856433;3
N1300251;60;10;0.485371326;1
N1300253;40;15;0.509808684;3
N1300261;50;0;0.562771123;1
N1300271;60;0;0.613151387;1
N1300273;70;0;0.548102838;3
N1300281;40;0;0.546033234;1
N1300291;50;10;0.616249885;1
N1300303;90;20;0.507553132;3
N1300321;120;30;0.575933623;1
N1300323;60;0;0.558584937;3
N1300341;90;0;0.470053318;1
N1300343;100;0;0.535614862;3
N1400021;20;45;0.44921876;1
N1400023;20;60;0.436143281;3
N1400061;20;60;0.534967251;1
N1400101;20;20;0.491687112;1
N1400103;20;20;0.440193808;3
N1400133;40;60;0.475739363;3
N1400211;30;90;0.502647212;1
N1400271;30;65;0.504196919;1
N1400272;20;50;0.402218079;2
N1400281;40;60;0.570313292;1
N1400283;40;50;0.525488163;3
N1400291;20;50;0.510293207;1
N1400292;70;50;0.489674929;2
N1400301;60;60;0.549569948;1
N1400303;90;40;0.446034518;3
N1400411;9;90;0.500043949;1
S0500021;9;10;0.655641617;1
S0500023;31;30;0.650741306;3
S0500031;9;35;0.732265809;1
S0500033;52;20;0.674103501;3
S0500041;9;10;0.687082401;1
S0500043;6;10;0.713377876;3
S0500051;6;40;0.709920169;1
S0500053;6;40;0.686118997;3
S0500061;15;10;0.643962137;1
S0500063;12;25;0.634460246;3
S0500071;15;60;0.6080535;1
S0500073;28;50;0.57744251;3
S0500081;9;0;0.592324995;1
S0500083;46;0;0.665083396;3
S0500101;12;30;0.486655175;1
S0500103;74;0;0.585653107;3
S0500111;3;0;0.641828552;1
S0500113;6;30;0.651041508;3
S0500121;9;10;0.561301339;1
