SampleID;x1;x2;y;RandomEffect
A1;10.26666667;2.001666667;18.40833333;no
A2;12.26666667;2.802333333;7.443333333;no
A3;14.86666667;2.402;8.235;yes
A4;23.25;2.802333333;7.678333333;no
A5;24.68333333;1.601333333;7.425;yes
A6;36.66666667;2.802333333;2.433333333;no
A7;38.45;2.001666667;27.64166667;yes
B1;16.33333333;22.01833333;0.205;no
B2;18.46666667;21.618;0.24;no
B3;20.86666667;20.417;5.65;yes
B4;24.03333333;22.819;1.151666667;no
B5;28.63333333;20.417;3.368333333;yes
B6;36.58333333;23.61966667;1.108333333;no
B7;44.15;22.819;2.376666667;yes
C1;16.78333333;42.83566667;0.858333333;no
C2;23.78333333;47.23933333;0.531666667;no
C3;20.38333333;43.63633333;10.7;yes
C4;27.26666667;53.24433333;1.465;no
C5;28.3;45.23766667;3.57;yes
C6;36.26666667;43.63633333;1.546666667;no
C7;47.65;52.844;1.13;yes
