SampleID;x1;x2;y;RandomEffect
2000005;2;0.6291;0.796296296;4
2000006;4;0.602;0.777777778;4
3000002;3;0.5292;0.510288066;5
4000005;3;0.4875;0.351851852;4
5000003;2;0.5707;0.688271605;5
6000001;2;0.6402;0.600823046;5
8000001;4;0.4781;0.526748971;4
9000015;2;0.5224;0.402777778;2
10000006;2;0.6844;0.582304527;3
10000009;2;0.7239;0.666666667;4
10000011;1;0.413;0.314814815;2
10000013;1;0.7243;0.293209877;4
10000014;4;0.6084;0.439102564;4
11000016;2;0.5049;0.345679012;4
13000005;3;0.7229;0.591049383;2
13000011;2;0.5908;0.493518519;2
13000019;2;0.6605;0.423032407;4
14000016;2;0.7891;0.655864198;5
15000032;2;0.3844;0.296296297;4
15000033;4;0.8169;0.931481482;2
15000034;3;0.7985;0.944907407;2
15000046;3;0.6362;0.518518519;2
15000069;4;0.8205;0.859567901;3
15000073;2;0.8567;0.513227514;4
15000104;4;0.836;0.648148148;4
15000109;3;0.8198;0.637345679;4
16000024;1;0.6247;0.555092593;2
16000070;2;0.5689;0.485690236;3
17000007;4;0.8171;0.685185185;3
18000077;4;0.6725;0.557870371;3
19000012;4;0.7782;0.797325103;4
19000015;4;0.5958;0.63510101;1
19000016;2;0.7341;0.498842593;3
20000026;4;0.7712;0.810185185;
21000030;2;0.3373;0.550925926;2
21000062;3;0.8567;0.616769548;4
21000077;4;0.7651;1.046296296;3
21000085;2;0.4977;0.958333333;4
21000110;2;0.7865;0.592592593;1
21000535;4;0.7167;0.994047619;3
21000535;4;0.7167;0.994047619;3
21000572;4;0.3387;0.847222222;1
21000587;2;0.5081;0.353909465;4
21000648;1;0.607;0.239197531;2
21000759;4;0.349;0.898148148;4
21000861;3;0.7992;0.537037037;1
21000872;2;0.29;0.516203704;2
21000873;3;0.9278;0.823045267;1
21000930;4;0.8183;0.763888889;2
21001107;4;0.5579;0.708333334;4
21001661;3;0.7797;0.987654321;3
21001663;2;0.4158;0.533564815;3
22000043;2;0.157;0.359722222;2
22000047;3;0.7557;0.553240741;1
22000050;4;0.78;0.571296296;3
22000053;3;0.1908;0.439300412;3
22000062;2;0.6206;0.87345679;4
24000002;2;0.8563;0.75308642;3
25000018;4;0.7987;0.838734568;4
25000021;4;0.4571;0.693055556;3
25000097;4;0.6578;0.904320988;5
25000592;3;0.776;0.771296296;1
25000707;4;0.8633;0.641203704;3
25000727;4;0.6675;0.956790124;4
25000728;4;0.6297;1.047619048;5
26000082;2;0.376;0.74691358;4
28000001;2;0.3446;0.883333333;4
30000013;2;0.2507;0.319444445;2
31000032;2;0.6453;0.714814815;2
31000114;2;0.476;0.508597884;2
31000374;2;0.6725;0.861111111;5
32000001;3;0.7559;1.005208333;4
33000004;2;0.4302;0.528356482;3
34000019;4;0.3928;0.705761317;5
35000011;2;0.5732;0.514917696;2
35000013;2;0.2643;0.647119342;2
37000011;1;0.2882;0.357060185;3
38000047;4;0.471;0.617063492;4
38000097;2;0.5318;0.587301588;4
38000106;4;0.5203;0.817460318;5
38000107;3;0.5067;0.833912037;5
41000016;2;0.0693;0.589814815;4
42000012;2;0.2614;0.751028807;1
44000021;2;0.3217;0.80787037;4
44000021;2;0.3217;0.80787037;4
45000001;2;0.393;0.445473251;5
45000003;2;0.3758;0.551440329;5
45000005;1;0.2835;0.56712963;4
46000017;2;0.3743;0.6494709;2
46000020;3;0.3886;0.626157408;3
47000001;2;0.2645;0.820023148;4
48000010;1;0.4821;0.289609053;4
49000061;2;0.3958;0.264917695;3
49000082;3;0.5198;0.426440329;3
49000092;2;0.474;0.264550265;4
50000056;2;0.2766;0.409722222;4
50000057;1;0.519;0.336419753;4
50000058;3;0.616;0.797619048;1
51000002;3;0.2829;0.424074074;2
52000025;3;0.4386;0.368055556;3
52000029;2;0.3574;0.324074074;4
52000033;2;0.2558;0.528240741;1
52000039;2;0.3884;0.361111111;4
52000068;2;0.1364;0.592592593;4
52000199;2;0.1332;0.289351852;2
53000011;1;0.3433;0.264814815;2
53000095;1;0.35;0.277777778;1
54000002;1;0.0797;0.217592593;2
55000051;3;0.1909;0.56712963;4
56000002;2;0.1743;0.483333333;4
56000003;2;0.2154;0.361111111;4
56000005;2;0.2276;0.436213992;4
57000044;4;0.0887;0.542245371;2
57000050;2;0.3093;0.412615741;5
57000058;2;0.2977;0.438657407;5
57000179;3;0.205;0.447530864;4
57000187;2;0.2353;0.743055556;4
58000019;2;0.0326;0.641835017;2
58000047;2;0.1492;0.520370371;4
58000057;2;0.0913;0.428571429;4
59000006;2;0.1417;0.455387206;4
60000024;2;0.301;0.436921297;3
62000014;1;0.0809;0.341563786;4
64000025;3;0.0251;0.320987654;4
