SampleID;x1;x2;y;RandomEffect ; 
112;0.0797;2.6;0.011454754;2;
110;0.3433;12;0.042966386;2;
68;0.2507;2.1;0.091011985;2;
108;0.1364;5.24;0.125;4;
122;0.0326;5.4;0.171387414;2;
121;0.2353;2.8;0.175450222;4;
130;0.1579;4.2;0.17923574;3;
14;0.5049;13;0.203257495;4;
129;0.0251;7.4;0.204527391;4;
120;0.205;2.4;0.205235442;4;
74;0.3928;5.8;0.29250091;5;
98;0.519;6.45;0.300947779;4;
22;0.6362;2;0.302759863;2;
62;0.776;1.4;0.332074277;1;
73;0.4302;8.7;0.373361865;3;
106;0.3884;5.61;0.382914695;4;
59;0.7987;3;0.387150391;4;
56;0.1908;3.8;0.406791051;3;
102;0.4658;7.51;0.420978268;2;
109;0.1332;5.5;0.452207498;2;
19;0.3844;7.3;0.464585061;4;
12;0.7243;2.3;0.47687292;4;
107;0.3009;3.99;0.495155313;3;
119;0.2977;8;0.5004699;5;
7;0.4781;2.7;0.522485636;4;
124;0.0913;5.07;0.538423925;4;
88;0.2835;4.4;0.562065312;4;
54;0.7557;3.8;0.575503283;1;
13;0.6084;2.6;0.600872151;4;
99;0.616;1.5;0.607879304;1;
126;0.301;1.5;0.622768354;3;
116;0.2276;5.8;0.625652568;4;
92;0.24;6.71;0.641672508;3;
113;0.1909;2.55;0.669451545;4;
127;0.098;5.2;0.695874365;4;
101;0.2166;6.19;0.700685851;4;
100;0.2829;2.56;0.712294253;2;
64;0.6675;2.5;0.718848405;4;
51;0.7797;1.9;0.72817391;3;
28;0.5689;6.1;0.750874486;3;
77;0.2882;4.7;0.767439326;3;
49;0.8183;1.3;0.771318889;2;
26;0.8198;2.3;0.774216028;4;
37;0.7651;6;0.775352234;3;
76;0.2643;3.5;0.825166708;2;
10;0.7239;2.3;0.832288037;4;
24;0.8567;2.1;0.858536585;4;
63;0.8633;1.8;0.861612845;3;
25;0.836;2.4;0.877689251;4;
2;0.602;1.3;0.884781982;4;
60;0.4571;3.7;0.89025345;3;
50;0.5579;1.6;0.902090592;4;
83;0.2614;2.5;0.903494412;1;
131;0.0785;1.47;0.909414968;3;
21;0.7985;1.7;0.911646586;2;
69;0.6453;4.5;0.923575293;2;
78;0.471;1.3;0.939372822;4;
65;0.6297;1.4;0.944674242;5;
57;0.6206;2.8;0.952380952;4;
81;0.5067;1.6;0.971428571;5;
71;0.6725;1.9;0.979094077;5;
