SampleID;x1;x2;y; 
WB / 2006 / 011;3.27;2;1.279487551;
WB / 2005 / 485;3.27;2;0.621592814;
WB / 2006 / 013;3.27;2;0.860827264;
WB / 2006 / 020;3.27;2;0.442166977;
WB / 2005 / 484;3.27;2;0.920635876;
WB / 2006 / 012;3.27;2;0.860827264;
IN153_52602;0.8;4;0.611648322;
DEHE_24_ab_42_07.07.2004;4.5;4;0.15633063;
DEHE_24_ab_330;4.5;4;0.096522018;
DEHE_24_ab_260_07.07.2004;4.8;4;-0.023095207;
DEHE_24_ab_213;4.5;4;-0.023095207;
DEHE_24_ab_182;4.5;4;-0.142712432;
DEHE_24_ab_42_28.07.2007;4.5;4;0.335756467;
DEHE_24_ab_252;4.5;4;-0.08290382;
DEHE_24_ab_127;4.5;4;0.036713405;
DEHE_24_ab_21;4.5;3;-0.142712432;
DEHE_24_ab_77;4.5;4;0.096522018;
MO_Fa_BF_1;3.5;4;0.102473083;
23370;1.5;2;1.113268429;
13481;2.47;4;0.262741139;
23371;1.5;2;1.5;
13468;2.47;4;0.322549752;
13456;2.47;4;0.382358364;
13225;2.47;4;0.262741139;
13493;2.47;4;0.262741139;
23369;1.5;2;1.5;
22567;1.6;4;0.216139243;
13201;2.47;4;0.262741139;
13195;2.47;4;0.262741139;
13183;2.47;4;0.262741139;
13160;2.47;4;0.322549752;
13237;2.47;4;0.322549752;
23376;1.5;2;0.335756467;
13523;2.47;4;0.322549752;
13547;2.47;4;0.262741139;
13560;2.47;4;0.262741139;
13572;2.47;4;0.262741139;
22565;1.6;4;-0.023095207;
13500;2.47;4;0.262741139;
13470;2.47;4;0.262741139;
23374;1.5;2;0.096522018;
23373;1.5;2;1.5;
23372;1.5;2;1.5;
DENI_10003_1;4.4;4;0.442166977;
DENI_08001_1;4.4;4;0.515182305;
SSR 3776;0.176666667;1;1.113629482;
SSR 3627;0.05;1;0.767013437;
SSR 3777;0.176666667;1;0.934203645;
SSR 3779;0.148333333;1;0.455734745;
SSR 3780;0.223333333;1;0.626730511;
SSR 3782;0.223333333;1;0.746347736;
SSR 3783;0.055;1;0.707204825;
SSR 4120;0.148333333;1;1.173438095;
TA62808001-20130507;6.214068102;4;0.357717951;
