SampleID;x1;x2;y;RandomEffect ; 
00040_2002_9;0.001;0.015;53;M20;
KRW20_22_2013_5;0.003;3.64E-02;20;M27;
900025_2013_6;0.002;0.03675;82;M3;
OROLLE10_1987_10;0.002;3.73E-02;28;M16;
OROLLE10_1987_7;0.002;3.73E-02;22;M16;
00040_2005_8;0.001;3.79E-02;54;M20;
KRW09_05_2012_6;0.001;0.0415;39;M20;
143292_2004_9;0.072;4.92E-02;30;M1;
143292_2006_5;0.078;4.92E-02;34;M1;
143292_2006_8;0.078;4.92E-02;21;M1;
BETU0159_2011_4;0.001;0.05;68;M1;
OHOMME10_1987_10;0.001;0.054;16;M11;
OHOMME10_1987_7;0.001;0.054;10;M11;
143292_2008_5;0.074;0.06;33;M1;
00141_2008_6;0;0.06;22;M20;
00040_2008_6;0.001;0.06;26;M20;
ROP01803_2008_7;0;0.06;38;M20;
KRW09_05_2010_4;0;0.06;14;M20;
KRW35_01_2011_5;0.001;0.06;52;M23;
KRW20_22_2010_5;0.002;6.05E-02;22;M27;
340410_2004_6;0.036;6.23E-02;65;M1;
ALMB0006_2012_4;0.004;6.33E-02;74;M6;
BETU0034_2008_9;0.001;6.38E-02;63;M3;
340442_2013_10;0.001;0.065;61;M3;
ROP09412_2008_7;0;6.53E-02;4;M27;
143292_2009_6;0.12;6.64E-02;35;M1;
MAWA0097_2009_9;0.007;6.83E-02;87;M6;
ALMB0014_2006_6;0.003;0.07;55;M6;
340445_1989_10;0.003;7.08E-02;27;M3;
340445_1989_5;0.003;7.08E-02;27;M3;
ALMB0006_2009_9;0.001;7.08E-02;71;M6;
ALMB0014_2007_6;0.003;7.14E-02;65;M6;
ALMB0006_2007_6;0;7.31E-02;61;M6;
341422_2013_5;0.008;0.074125;57;M3;
BENL0023_2007_9;0.004;7.46E-02;41;M3;
143292_2007_6;0.133;0.076;26;M1;
143292_2007_8;0.133;0.076;32;M1;
340410_1990_9;0.018;7.61E-02;15;M1;
BENL0010_2009_8;0.003;7.85E-02;76;M3;
ALMB0024_2006_8;0.004;7.91E-02;74;M1;
BETU0055_2010_6;0.003;7.92E-02;76;M1;
ALMB0016_2006_9;0.005;7.93E-02;57;M3;
BOMW0005_2006_7;0.002;0.08;58;M3;
l0075owo_2013_5;0.012;8.17E-02;18;M14;
l0075tc1_2013_5;0.012;8.17E-02;16;M14;
BETU0047_2009_6;0.003;8.17E-02;94;M6;
BENL0082_2007_6;0.002;8.23E-02;55;M20;
BETU0050_2008_5;0.008;8.23E-02;78;M3;
a18_2009_7;0.001;0.0825;64;M1;
341421_2004_5;0.095;0.0825;48;M3;
341421_2004_8;0.095;0.0825;60;M3;
ALMB0027_2006_9;0.001;8.31E-02;49;M3;
MAWA0006_2006_8;0.01;0.084;59;M1;
340410_2001_5;0.021;8.42E-02;63;M1;
BENL0159_2007_8;0.003;8.46E-02;49;M1;
