SampleID;x1;x2;y;RandomEffect
A1;10.26666667;2.001666667;42.27333333;no
A2;12.26666667;2.802333333;41.79833333;no
A3;14.86666667;2.402;46.77833333;yes
A4;23.25;2.802333333;34.40166667;no
A5;24.68333333;1.601333333;41.825;yes
A6;36.66666667;2.802333333;29.26333333;no
A7;38.45;2.001666667;11.78166667;yes
B1;16.33333333;22.01833333;81.56;no
B2;18.46666667;21.618;84.25333333;no
B3;20.86666667;20.417;32.23333333;yes
B4;24.03333333;22.819;83.085;no
B5;28.63333333;20.417;68.265;yes
B6;36.58333333;23.61966667;47.23166667;no
B7;44.15;22.819;57.185;yes
C1;16.78333333;42.83566667;63.97333333;no
C2;23.78333333;47.23933333;60.19666667;no
C3;20.38333333;43.63633333;44.88666667;yes
C4;27.26666667;53.24433333;65.38833333;no
C5;28.3;45.23766667;68.62;yes
C6;36.26666667;43.63633333;71.62666667;no
C7;47.65;52.844;78.60166667;yes
