SampleID;x1;x2;y; ; 
WB / 2005 / 486;0.171;3;0.456355668;;
WB / 2005 / 636;0.171;3;0.923902371;;
WB / 2005 / 637;0.147;4;0.731383066;;
WB / 2005 / 638;0.147;4;0.419685317;;
WB / 2005 / 681;0.147;4;0.826392634;;
WB / 2005 / 682;0.147;4;0.566366564;;
WB / 2006 / 010;0.171;3;0.864967973;;
WB / 2006 / 011;0.171;3;0.59872272;;
WB / 2005 / 485;0.171;3;0.456355668;;
WB / 2006 / 013;0.171;3;0.466356659;;
WB / 2006 / 020;0.171;3;0.731383066;;
WB / 2005 / 484;0.171;3;0.346344615;;
WB / 2006 / 012;0.171;3;0.742384156;;
IN153_52602;0.091;3;0.879188922;;
DEHE_24_ab_42_07.07.2004;0.207;3;0.471580086;;
DEHE_24_ab_330;0.207;3;0.361569032;;
DEHE_24_ab_260_07.07.2004;0.157;2;0.88412134;;
DEHE_24_ab_213;0.207;2;0.636596587;;
DEHE_24_ab_182;0.207;2;0.141547082;;
DEHE_24_ab_42_28.07.2007;0.207;3;0.306563584;;
DEHE_24_ab_252;0.207;3;0.702603125;;
DEHE_24_ab_127;0.207;2;0.353711133;;
DEHE_24_ab_21;0.207;3;0.966629591;;
DEHE_24_ab_77;0.207;2;0.353711133;;
MO_Fa_BF_1;0.174;4;0.237978318;;
23370;0.037;2;0.636596587;;
13481;0.116;4;0.676377618;;
23371;0.037;2;1.114575479;;
13468;0.116;4;0.676377618;;
13456;0.116;4;0.511361116;;
13225;0.116;4;0.676377618;;
13493;0.116;4;0.428852866;;
23369;0.037;2;0.987256653;;
22567;0.044;4;0.542301488;;
13201;0.116;4;0.478357848;;
13195;0.116;4;0.428852866;;
13183;0.116;4;0.428852866;;
13160;0.116;4;0.582082519;;
13237;0.116;4;0.566366564;;
23376;0.037;2;0.696602531;;
13523;0.116;4;0.676377618;;
13547;0.116;4;0.401350063;;
13560;0.116;4;0.478357848;;
13572;0.116;4;0.478357848;;
22565;0.044;4;0.636596587;;
13500;0.116;4;0.478357848;;
13470;0.116;4;0.428852866;;
23374;0.037;2;0.636596587;;
23373;0.037;2;1.001369932;;
23372;0.037;2;0.815364412;;
SSR 3776;0.043;1;0.767853537;;
SSR 3627;0.057;2;0.652315841;;
SSR 3777;0.043;1;0.584501782;;
SSR 3779;0.054333333;1;0.731183186;;
SSR 3780;0.039583333;3;0.741282447;;
SSR 3782;0.039583333;1;0.587267035;;
SSR 3783;0.064;1;0.531726872;;
SSR 4120;0.054333333;1;1.141105141;;
TA62808001-20130507;0.463333331;3;0.509506952;;
TA62808001-20100601;0.463333331;3;0.509506952;;
TA65412001-20130502;0.367499997;3;0.344490451;;
TA65412001-20100519;0.367499997;3;0.069462974;;
TA65412001-20090429;0.367499997;3;0.729528902;;
TA65412001-20080505;0.367499997;3;0.426998701;;
TA62708008-20080506;0.401805556;3;0.509506952;;
TA62708008-20100601;0.401805556;3;0.509506952;;
TA62708008-20090520;0.401805556;3;0.509506952;;
DU210314-20080715;0.166472222;2;0.757031705;;
DU210314-20130627;0.166472222;2;0.757031705;;
DU210132-20080708;0.236000001;2;0.839539956;;
DU210132-20130606;0.236000001;2;0.550761078;;
DU210106-20080716;0.143875;3;0.792392406;;
DU210116-20130731;0.090999998;3;1.028130311;;
DU210116-20080708;0.090999998;3;0.069462974;;
DU210127-20080716;0.181805554;4;0.839539956;;
DU210127-20130604;0.181805554;4;0.880794081;;
GV09030006-20090417;0.831410708;4;-0.04054808;;
GV09030006-20090120;0.831410708;4;0.014457447;;
GV09030006-20090115;0.831410708;4;0.014457447;;
GV09260005-20090520;0.437948136;2;-0.315575556;;
GV09260005-20081219;0.437948136;2;-0.315575556;;
GV09230004-20090122;0.144166666;2;0.289484924;;
GV09230004-20090416;0.144166666;2;0.729528902;;
GV09420003-20090415;0.173606059;4;0.311487182;;
GV09420003-20090121;0.173606059;4;-0.315575556;;
GV09430001-20081222;0.2995625;2;0.399495977;;
JU183-20111103;0.033;3;0.949551009;;
JU183-20120411;0.033;3;1.022891554;;
JU183-20130417;0.033;3;1.33458946;;
JU169-20111215;0.033;3;0.784534507;;
JU169-20120418;0.033;3;0.806536687;;
JU169-20130409;0.033;3;0.971553188;;
JU130-20110105;0.039166667;3;0.876210307;;
TA62708006-20100629;0.394597224;3;0.619518006;;
TA62908005-20100602;0.491666669;3;0.069462974;;
TA62908005-20090526;0.491666669;3;0.096965698;;
130478;0.084691667;2;0.565803094;;
121042;0.084691667;2;0.172906665;;
110909;0.084691667;2;0.436933052;;
120437;0.084691667;2;0.663724988;;
80195;0.081013889;2;0.579947375;;
120465;0.081013889;2;0.522941571;;
100357;0.081013889;2;0.832972593;;
110938;0.081013889;2;0.370926515;;
130516;0.081013889;2;0.790660771;;
90558;0.081013889;2;0.536789205;;
80047;0.060875;2;0.511401954;;
121032;0.060875;2;0.50293959;;
80082;0.055972222;3;0.689112082;;
121038;0.055972222;3;0.678957181;;
110893;0.055972222;3;0.592323581;;
90445;0.055972222;3;0.788968235;;
100303;0.055972222;3;0.787674007;;
120423;0.055972222;3;0.592323581;;
130463;0.055972222;3;0.734541758;;
80196;0.051513889;2;0.557945195;;
100358;0.051513889;2;0.5529447;;
90559;0.051513889;2;0.58756355;;
130517;0.051513889;2;0.58937679;;
90475;0.103833333;2;0.578210303;;
100321;0.103833333;2;0.595580552;;
80110;0.103833333;2;0.381927604;;
120438;0.103833333;2;0.28291764;;
110910;0.103833333;2;0.429599045;;
130479;0.103833333;2;0.612950643;;
90443;0.073583333;2;0.592323581;;
80080;0.073583333;2;0.656955002;;
121036;0.073583333;2;0.612950643;;
130461;0.073583333;2;0.647690984;;
90599;0.112091667;2;0.571696518;;
110960;0.112091667;2;0.387138663;;
120486;0.112091667;2;0.324171766;;
80233;0.112091667;2;0.551069455;;
130540;0.112091667;2;0.594615547;;
100330;0.078724537;3;0.337923088;;
110916;0.078724537;3;0.344798828;;
130488;0.078724537;3;0.826501457;;
