SampleID;x1;x2;y;RandomEffect
1;14.4;73.3;0.1236;8075
2;29.33333333;73.3;0.060544;8075
3;170;123.2;2.740368513;8075
4;136;65.8;10.01915032;4145
5;130;20.2;0.676036296;4145
6;86;41.1;4.335758344;4145
7;100;73.3;0.006431317;8327
8;65;73.3;0;8327
9;32;73.3;0.6516645;8062
10;290;123.2;0.299812433;8062
11;2;35.5;0.07908;4148
12;5;48.9;0.207895665;4148
13;7;89.6;0.03309;4148
14;6;22.5;0.055180823;4148
15;9;61;0.07427;4148
16;8;90;0.03427;4148
17;4;14.5;0.060756063;4148
18;22;110.8;0.23451;4142
19;25;34;0.09062;4142
20;21;20.1;0.08409;4142
21;24;51.4;0.23073;4142
22;21;65.8;0.077656053;4142
23;30;20.2;0.152139765;4142
24;29;47.9;0.16581;4142
25;11;19.1;0.180797282;4142
26;131;60.6;1.18973;4140
27;64;53;0.90687;4140
28;127;39;27.80183744;4140
29;90;37.2;4.04562;4140
30;209;55.3;3.632023582;4140
31;59;26.8;26.20543503;4140
32;67;46.1;0.87821;4140
33;160;106.7;9.229162164;8329
34;135;106.7;8.271051859;8329
35;35;49.2;2.735528813;8330
36;105;52.2;1.572693511;8330
37;50;52.2;1.284315401;8330
38;45;73.3;2.923376837;8330
39;50;73.3;0.126096879;8330
40;35;123.2;0.412199508;8330
41;40;123.2;1.414242398;8330
42;32;51.7;0.247509075;8027
43;54;107.5;11.0875;8004
44;750;55;0.010201327;6778
45;500;55;0;6778
46;20;64.4;0.00884;8097
47;93;168.5;0.000677336;8097
48;103.3333333;64.4;0.00074;8095
49;276;50.2;0.865045;8080
50;343.3333333;50.2;1.32728;8080
51;25;98.8;0.272366;8086
52;21;60.6;0.12014;4151
53;46;53;0.33631;4151
54;32;114.6;0.373645653;4151
55;47;37.2;0.98883;4151
56;33;27.5;0.238465164;4151
57;39;67.8;0.20815;4151
58;30;66.2;0.157461363;4151
59;27;116.8;0.07612;4151
60;4100;63.1;0.042033124;7899
61;280;116.7;0;7932
62;49;72.8;0.060664203;7911
63;33;57.6;0.017008559;7970
64;355;32.2;0.857555292;8279
65;361;32.2;1.565610887;8279
66;51;107.5;5.732;7987
67;69;85.1;0.115758;8210
68;20;40.6;4.223530524;8003
69;23;73.1;2.457;8003
70;34;48.1;5.592469673;7990
71;12;30.4;0.168652655;8017
72;35;30.4;0.009393081;7996
73;16;40.7;0.00224923;8044
74;215;28.8;0.398388191;8266
75;194;28.8;1.178149963;8266
76;212;28.8;2.795720695;8266
77;17;63.8;0.370475549;7989
78;22;107.5;3.1368;8046
79;22;108.7;0.9222;8010
80;30;108.7;0.0091;8016
81;19;73.1;0.6968;8025
82;18;108.7;0;8026
83;40;30.4;0.052944846;8023
84;210;106.7;16.36143346;8332
85;105;106.7;20.33003587;8332
86;25;49.2;0.053879667;8341
87;35;72.4;1.594067383;8341
88;20;72.4;0.676243189;8341
89;50;55.2;0.529711902;8341
90;30;55.2;0.000235619;8341
91;20;123.2;0.006626962;8341
92;20;123.2;0.01725496;8341
93;46;47.6;5.868869565;7985
94;20;97.1;0.007626634;8011
95;15;108.7;0.0329;8045
96;17;36.7;0.004503938;7994
97;27;51.3;0.228448579;8030
98;16;90.2;0.0051;8029
99;98.7;28.8;0;8265
100;51.4;28.8;0;8265
101;325;93.9;0.163954693;8334
102;18.6;94.4;0.017121573;8318
103;21.5;94.4;0.028916348;8318
104;18.45;94.4;0.093456911;8318
105;50;123.2;4.568890918;8342
106;85;52.2;0.81926901;8342
107;70;73.3;1.216974895;8342
108;70;123.2;0.595004558;8342
109;65;52.2;15.19076351;8342
110;60;73.3;4.658343009;8342
111;70;49.2;0.319196286;8342
112;17;40.7;0.016424101;8042
113;160;42.4;47.472;8234
114;38;40.7;0.000395698;8020
115;58;34.9;0.211071294;8012
116;26;132.9;0.4098;8036
117;70.5;41.2;0.509511897;8316
118;46.2;41.2;0;8316
119;79;49.3;0.0478;8316
120;71.4;49.3;0.534306;8316
121;98.1;49.3;0;8316
122;20;49.2;0.209671588;8337
123;35;123.2;0.047249554;8337
124;25;123.2;0.000907845;8337
125;220;37.1;0.215537186;7937
126;15;67;0.0738;8047
127;113;56.8;0.018924602;8310
128;110;56.8;6.202982813;8310
129;180;56.8;9.512242653;8310
130;737;18.2;32.16070592;7900
131;17;56.3;0.310649875;7988
132;27;51.3;0;8034
133;776;56.8;2.421692855;8309
134;759;56.8;0.265054193;8309
135;549.5;56.8;0.523204458;8309
136;21;132.9;0.9687;7986
137;86.2;63.8;2.708756389;8315
138;170;66.4;0.01802;8315
139;26;38.2;0.003979008;8028
140;470;58;0.088647399;8331
141;535;106.7;0.486970453;8331
142;840;106.7;0.608987974;8331
143;25;40.7;0.03216492;8006
144;20;49.2;0.066385531;8339
145;10;52.2;0.492392531;8339
146;25;73.3;9.80203705;8339
147;25;73.3;0.103181896;8339
148;20;123.2;0.018316426;8339
149;20;123.2;0.132473771;8339
150;70.1;27.9;0.016662478;8262
151;42.25;27.9;0.077872453;8262
152;39.5;27.9;0.620215378;8262
153;26.6;94.4;0.014749293;8319
154;46.2;94.4;0.011441604;8319
155;49.3;94.4;0.111638142;8319
156;93.8;27.9;0.002837013;8322
157;124;27.9;0;8322
158;93.9;27.9;0.000582541;8322
