SampleID;x1;x2;y;RandomEffect1;RandomEffect2
4;42.5;19.67649767;0;FRB1L35;2008
5;17.5;19.18709336;0;FRB1L36;2008
6;83.83;19.09811075;0;FRB2L05;2008
7;83.83;17.66007452;0.000925926;FRB2L05;2013
10;15;20.36746692;0;FRCL18;2006
11;15;18.65706655;0;FRCL18;2011
12;100;19.29039055;0;FRCL21;2008
16;10;18.46633428;1.003703704;FRCL3;2009
17;39;18.62147351;0;FRDL10;2010
18;28.5;21.09480298;7.190972222;FRDL106;2009
19;28.5;20.65917511;7.822222222;FRDL106;2013
20;13;21.27663699;0.180444444;FRDL107;2007
21;13;20.59920857;0.123111111;FRDL107;2013
22;51.5;21.50683112;0.562962963;FRDL108;2008
23;8;22.23880974;0.109722222;FRDL112;2007
24;8;23.16577633;0.041666667;FRDL112;2013
25;17.25;23.35031852;2.522222222;FRDL113;2008
28;20;22.27517655;0.088888889;FRDL118;2008
29;39.5;21.7114911;0.016666667;FRDL120;2008
30;20;17.74712272;3.806481481;FRDL121;2008
31;22.5;21.21357541;0;FRDL127;2009
32;42.25;21.19655265;0.073333333;FRDL128;2009
33;84;21.08126215;0;FRDL15;2008
34;84;19.96511081;0.028571429;FRDL15;2013
35;17;20.20265567;0.005882353;FRDL16;2008
36;17;19.38981894;0.029411765;FRDL16;2014
37;26;19.94035043;0.027555556;FRDL17;2010
38;67;20.17131832;0;FRDL2;2008
39;28;19.69584171;0.052083333;FRDL3;2011
40;22.5;20.03552313;0.002777778;FRDL42;2010
41;72.25;20.16899703;0.958333333;FRDL43;2008
42;22.75;19.96472393;0.195833333;FRDL44;2010
47;45.75;18.37851232;0;FRDL6;2008
48;17;18.45666225;2.396610169;FRDL69;2009
49;11.75;19.06251771;6.266666667;FRDL70;2009
50;15.25;20.90407071;2.472777778;FRDL71;2008
51;129.5;17.79045338;0;FRDL7;2008
52;26;17.36024184;0.135;FRDL74;2010
55;13.5;21.12807474;0.053639847;FRDL90;2010
56;12.5;20.56516305;3.974305556;FRDL91;2012
57;10;21.1408418;1.492222222;FRDL92;2011
64;33.75;24.66068406;0.005555556;FREL135;2008
65;15.25;24.16934534;0;FREL140;2009
67;86.67;19.62078682;0;FRFL10;2011
79;47.5;20.85725812;0;FRFL23;2011
80;45;19.83241067;0.059444444;FRFL26;2010
84;62.5;21.09983243;0;FRFL35;2010
85;20;19.56623662;0.02605364;FRFL36;2010
89;17.5;20.85725812;45.27777778;FRFL40;2012
90;300;21.09944555;0.027777778;FRFL41;2012
92;67.5;20.74390202;0.009259259;FRFL42;2011
93;25;21.40353392;0.043055556;FRFL45;2011
96;27.5;20.67581099;0;FRFL47;2010
103;30;21.41127154;0.031944444;FRFL57;2011
104;25;19.52677477;0;FRFL58;2011
106;40;20.29666772;0;FRFL61;2010
107;22.5;19.67030758;0.124691358;FRFL62;2008
109;127.5;20.80618984;0.038888889;FRFL65;2005
110;127.5;20.38062087;0.017171717;FRFL65;2014
111;123.33;20.10051912;0;FRFL67;2009
112;22.5;20.15042675;0;FRFL7;2010
115;37.5;20.00650706;0;FRFL79;2011
116;10;21.79350985;0.145833333;FRFL84;2011
117;35;20.42704658;0;FRFL86;2011
127;45;20.331487;0;FRGL001;2010
129;75;19.50549632;0;FRGL004;2009
136;32.5;17.73280813;0.109259259;FRGL020;2008
137;50.5;17.08826458;0;FRGL021;2009
138;30;16.7640584;0;FRGL023;2009
139;52.5;20.12334509;8.3625;FRGL025a;2008
151;60.75;18.7835766;0;FRGL049;2008
152;255;19.47686714;0;FRGL051;2007
154;495;18.64429948;0;FRGL053;2010
155;37.67;17.34167156;0;FRGL057;2009
156;30;19.55617772;0.009722222;FRGL058;2007
160;204.12;21.03483644;0.004444444;FRGL096;2006
161;204.12;19.25827944;0.056481481;FRGL096;2013
162;67.5;20.75009212;0.010893246;FRGL097;2006
163;67.5;19.02421651;0;FRGL097;2013
166;115;18.36884029;0;FRGL103;2010
167;50.5;18.98436778;0;FRGL104;2008
168;83.75;20.28157937;0;FRGL105;2006
169;70;18.90273591;0.097222222;FRGL106;2010
170;70;21.04102654;0;FRGL111;2007
171;70;19.47648026;0.290277778;FRGL111;2012
172;35;18.99636108;0.002666667;FRGL113;2012
173;87.5;19.40993674;0;FRGL117;2006
174;92.5;18.37038782;0;FRGL119;2008
175;32.5;19.61150168;0;FRGL121;2012
176;68.5;19.99335311;0.024444444;FRGL122a;2006
177;68.5;18.3545257;0.039463602;FRGL122a;2013
197;62;18.36497148;0;FRGL150;2009
198;62;19.11165158;0;FRGL150;2011
199;60;18.31583761;0;FRGL152;2009
200;70;21.48323138;0.008333333;FRGL154c;2006
201;20;19.12171049;0.024444444;FRGL162;2012
202;32.5;18.41217095;0;FRGL167;2009
203;32.5;19.13022187;0.023148148;FRGL167;2011
204;105;18.90853912;0;FRGL168;2010
205;47.5;18.23265822;0;FRGL200;2008
206;13.33;20.54775341;0;FRHL02;2008
215;38.75;18.3727091;0;FRHL19;2008
222;140.33;19.18941464;0;FRHL21;2009
224;27.5;18.259353;0;FRHL23;2012
226;40;19.84092205;0.327777778;FRHL25;2010
228;21.75;18.00401162;0;FRHL40;2010
229;19.75;19.98484173;0;FRHL55;2010
230;67.5;18.92207995;0;FRHL56;2009
231;27.5;20.4467775;0;FRHL57;2008
232;45;20.43903989;0;FRHL59;2010
233;37.5;19.79681762;0.012962963;FRHL60;2011
234;26.33;19.89972794;0.076111111;FRHL61;2011
235;26.5;19.35693406;0.039814815;FRHL62;2009
236;19.33;19.55579084;0;FRHL63b;2012
237;26.75;19.43663152;0;FRHL65;2009
238;28.25;19.45365428;0.00462963;FRHL66;2009
239;18;19.61382297;0;FRHL67;2012
240;20.75;19.5948658;0;FRHL69;2010
