"SampleID;x1;x2;y;RandomEffect1;RandomEffect2"
"105;0.37075;4;0.007990625;TC9;2013"
"106;0.654636364;1;0.007885455;TC1;2014"
"107;0.066459459;0;0.002202432;TC10;2014"
"108;0.315764706;0;0.004365882;TC11;2014"
"109;0.065083333;0;0.003540556;TC12;2014"
"110;0.199666667;0;0.012893333;TC13;2014"
"111;0.201722222;0;0.00353;TC14;2014"
"112;0.657210526;0;0.004625263;TC15;2014"
"113;0.207081081;1;0.018475405;TC16;2014"
"114;0.086975;0;0.00370475;TC17;2014"
"115;0.265333333;0;0.011300278;TC18;2014"
"117;0.634171429;0;0.003902286;TC2;2014"
"118;0.067666667;0;0.010971944;TC20;2014"
"119;0.229588235;0;0.002482353;TC21;2014"
"120;0.221235294;1;0.014136765;TC3;2014"
"121;0.23846875;11;0.008602188;TC4;2014"
"122;0.171138889;0;0.004921944;TC5;2014"
"123;0.184194444;0;0.004887222;TC6;2014"
"124;0.109411765;1.666666667;0.003437059;TC7;2014"
"125;0.028705882;1.5;0.001842353;TC8;2014"
"126;0.319885714;1;0.007201143;TC9;2014"
