SampleID;x1;x2;y;RandomEffect ; 
1;15.32413;12;92;1984;
2;14.436739;25;83;1985;
3;14.56663;16;69;1986;
4;13.118152;42;74;1987;
5;15.736739;34;88;1988;
6;14.963043;12;92;1989;
7;16.053261;0;92;1990;
8;16.113043;11;92;1991;
9;16.053261;12;92;1992;
10;13.372826;10;92;1993;
11;16.161957;18;92;1994;
12;16.233696;0;92;1995;
13;15.595652;11;92;1996;
14;18.051087;4;92;1997;
15;14.122826;15;92;1998;
16;15.494565;21;92;1999;
17;14.619565;38;92;2000;
18;15.738043;14;92;2001;
19;17.511957;6;92;2002;
20;17.240217;10;92;2003;
21;15.728261;9;92;2004;
22;16.006522;6;92;2005;
23;17.329348;32;92;2006;
24;16.240217;13;92;2007;
25;16.405435;10;92;2008;
26;16.225;16;92;2009;
27;15.916304;20;92;2010;
28;16.231522;31;92;2011;
29;14.919565;29;92;2012;
30;16.322826;23;88;2013;
31;15.992065;43;84;2014;
32;17.450326;65;89;2015;
33;16.241087;36;89;2016;
34;16.706739;30;75;2017;
35;15.973587;17;79;2018;
36;16.09087;35;75;2019;
37;16.14913;36;55;2020;
38;14.97337;59;84;2021;
39;18.500652;14;92;2022;
40;16.999457;36;66;2023;
41;15.523913;65;61;2024;
42;16.295109;29;92;2025;
43;17.690435;15;79;2026;
44;14.851848;18;86;2027;
45;15.667826;32;76;2028;
46;16.119783;50;20;2029;
47;16.147826;42;86;2030;
48;16.265543;13;73;2031;
49;15.915;72;58;2032;
50;16.897283;58;53;2033;
51;16.165217;49;89;2034;
52;16.855109;31;69;2035;
53;15.123261;10;55;2036;
54;16.520978;35;70;2037;
55;15.779891;28;59;2038;
56;16.866522;43;76;2039;
57;16.125326;9;91;2040;
58;16.700217;57;57;2041;
59;18.314239;62;22;2042;
60;16.184891;13;81;2043;
61;17.272391;35;53;2044;
62;17.108478;7;86;2045;
63;18.840217;16;70;2046;
64;16.495326;10;35;2047;
65;15.582826;73;42;2048;
66;16.242935;23;8;2049;
67;16.031413;52;0;2050;
68;17.966087;66;7;2051;
69;16.403478;42;87;2052;
70;16.936848;43;50;2053;
71;17.288696;5;42;2054;
72;18.171957;25;49;2055;
73;18.317935;9;53;2056;
74;16.647935;37;50;2057;
75;16.861957;7;46;2058;
76;16.35163;47;14;2059;
77;17.356957;51;6;2060;
78;18.637283;0;59;2061;
79;17.57337;87;70;2062;
80;16.739022;4;59;2063;
81;16.871522;42;64;2064;
82;19.082935;27;43;2065;
83;16.821957;32;43;2066;
84;18.399022;12;20;2067;
85;16.912283;59;26;2068;
86;18.999674;51;25;2069;
87;18.336196;15;67;2070;
