SampleID;x1;x2;y
1;48;1.142857143;0.996534777
2;120.9166667;0;0.7024494
3;112;0;0.770620139
4;41;0.25;0.373459339
5;28;0;0.921098515
6;12.33333333;1.5;0.640442354
7;11;0;1.283298185
8;16;0;0.842819615
9;5;0;0.923792873
10;18.83333333;0.555555556;1.002679621
11;110;0.142857143;0.543065059
12;35.25;0.6;0.47133739
13;12;1;1.019947704
14;5.25;0.142857143;0.88742564
15;14.25;0.75;1.041490167
16;85.66666667;0;0.818633081
17;27;1;0.989323138
18;22;1;0.749160721
19;15.75;0.2;1.076358854
20;87.8;0;1.460016328
21;51;0;1.02676033
22;105;0.833333333;0.895847456
23;57.91904762;0;0.824409517
24;21;0.25;0.856922923
25;11;0;1.238264628
26;29.66666667;0.4;0.498541075
27;11;0;0.795154377
28;69.33333333;0;0.658158719
29;10.66666667;0.125;1.014946714
30;97;1;0.73159692
31;77;0;0.52333105
32;11.25;1;0.95814058
33;5.25;0.666666667;0.85212182
34;26.66666667;0;0.539913389
35;9;0;1.084548015
36;17;0;1.192092214
37;99;0.333333333;0.501426787
38;9;0.25;1.282353876
39;20;0;1.316717322
40;3.192307692;0.1;0.948950957
41;59;0.5;0.977983102
42;24.4;0.625;1.031403851
43;65.8;0.833333333;1.03755232
44;8.666666667;0.555555556;0.999750252
45;84;1;0.776275454
46;23.75;0;0.699818259
47;112.5;0.125;1.012196752
48;13.06666667;0;1.125065416
49;46.33333333;0.1;0.434247952
50;132.4285714;0.5;1.123320604
51;31;0.75;0.848775256
52;93;0.5;0.560570491
53;124.75;0.166666667;0.621817503
54;32.66666667;0;0.94892289
55;125.5;0;0.502477311
56;29.5;0;0.641450811
57;45.5;0.5;0.497309202
58;53.33333333;0.5;0.319892555
59;11;0.333333333;0.863081556
60;17;0;1.075259007
61;104.9166667;0;0.760244849
62;44.5;0.111111111;0.895531067
63;59;0;1.263562557
64;46;0;1.159338346
65;69.33333333;0;0.541947117
66;83.66666667;0.333333333;0.889746195
67;20.6;0.166666667;0.334132439
68;116.6666667;0;0.873877903
69;40.33333333;0.25;0.698208777
70;46;0.3;0.9652832
71;71.72222222;0.555555556;0.744674577
72;145;0;0.81617006
73;118.3333333;0.25;0.322556262
74;123.4576347;1;0.533936196
75;115.7;0.666666667;0.868805442
76;110;0;0.571024268
77;6;0;1.238703312
78;5.666666667;0.8;0.424147297
79;20;0;0.755126031
80;14.33333333;1.75;0.606360237
81;36;0;0.769259534
82;10;0;0.840706664
83;21;0.3;1.525241005
84;29;0.2;0.322673221
85;6;0.333333333;1.28087643
86;26;0;0.301802895
87;15.66666667;0;1.064630605
88;15.66666667;0.1;1.291663831
89;12.125;0;0.936115506
90;16;0.3;1.062788146
91;147;0.333333333;0.639849849
92;14.67;0;0.366440939
93;5;0;0.900052241
94;10.75;0;1.085008082
95;28.66666667;0;1.49084606
96;59;0;1.03970737
97;9.333333333;0;0.323496851
98;19.5;0.333333333;0.937581547
99;54.5;1.285714286;0.971816685
100;34.3;0;0.661836818
101;50.5;0.666666667;0.638662293
102;17.33333333;0.4;0.741897897
103;76.5;0.25;1.100692213
104;59.5;0;0.726479476
105;85.5;1.857142857;0.070283887
106;87.5;0;0.568077468
107;102;0.125;0.624348061
108;30.33333333;0.5;1.105586488
109;66;0.125;1.143648042
110;27.33333333;0;0.444723728
111;15.8;0;0.751173994
112;49;0.5;0.699595044
113;30.66666667;0;0.399485753
114;62;0.1;0.416237903
115;31;0;0.721988057
116;34.75;1;0.525899767
117;81;0;0.632699845
118;22;0;1.235150589
119;11.6;0.4;0.467325123
120;7.5;0.285714286;0.934862353
121;34;0;0.753280862
122;16.33333333;0.428571429;0.964499908
123;26;0;1.040581414
124;40;0;0.893174523
125;23;0.555555556;0.316758603
126;67;0.2;0.963795007
127;70;0.142857143;0.875993013
128;25;0;0.566448545
