SampleID;x1;x2;y; 
7156;1;4;3;
7200;1;4;5;
7199;1;2;4;
8991;1;4;4;
5014;1;4;4;
7217;1;4;4;
5595;1;2;4;
8994;1;4;2;
5594;1;4;2;
7218;1;4;2;
9008;1;2;3;
5070;4;3;3;
5071;1;4;2;
5072;1;4;2;
5069;4;3;3;
5073;4;3;3;
5074;4;3;3;
5075;4;3;3;
9481;3;4;4;
7775;3;4;4;
7272;2;2;2;
7273;1;1;1;
7267;4;2;2;
8203;4;3;3;
9007;4;4;4;
5925;1;2;2;
5336;1;2;2;
5926;1;2;2;
5337;1;2;2;
7278;1;1;2;
7233;1;1;5;
8999;1;2;3;
7279;1;3;3;
9004;3;4;4;
9000;3;2;3;
7280;1;3;3;
7224;1;1;2;
7223;1;1;2;
7276;2;1;5;
7277;2;1;5;
7266;1;2;2;
7268;1;4;3;
7274;1;1;1;
7275;1;1;1;
7229;1;1;2;
7227;1;1;2;
7232;4;1;5;
5596;3;2;2;
5970;3;2;3;
5969;3;2;3;
9053;3;2;3;
5335;3;2;3;
7222;3;2;3;
7678;3;4;3;
7939;1;2;3;
7940;1;2;3;
7815;2;2;2;
7647;4;2;2;
7813;3;1;3;
7722;1;4;2;
7723;1;4;2;
7676;3;2;2;
7677;3;2;3;
7951;1;2;3;
7952;1;1;5;
9015;3;1;3;
9017;1;3;3;
9014;3;1;3;
9018;1;3;3;
8419;2;1;3;
8420;2;1;3;
9478;2;2;4;
9477;4;2;3;
9064;1;2;2;
5599;1;2;2;
7237;1;2;2;
5929;1;2;1;
5928;4;2;3;
6848;4;2;3;
5930;2;2;4;
6603;3;2;2;
7234;2;2;3;
7725;3;1;2;
7727;3;1;2;
7773;3;2;2;
7774;3;2;2;
8996;1;1;3;
8997;1;3;3;
5598;1;3;3;
5933;1;3;3;
7240;1;3;3;
7818;3;2;2;
7724;1;1;1;
8888;1;2;2;
8890;1;4;2;
9010;1;1;1;
8417;3;3;2;
8425;1;4;5;
8424;1;2;3;
6850;4;2;3;
5852;4;2;3;
6851;3;2;2;
9021;1;1;1;
5342;1;1;1;
5853;3;1;3;
9482;1;1;3;
5851;3;2;3;
5068;2;3;2;
5067;2;2;3;
5064;2;2;3;
5066;2;2;2;
7648;1;1;2;
7649;1;1;2;
7812;2;2;2;
8423;3;1;3;
9009;1;4;4;
7817;1;2;5;
