SampleID;x1;x2;y; 
7156;1;4;3;
7200;1;4;5;
7199;1;2;4;
8991;3;4;4;
5014;3;4;4;
7217;3;4;4;
5595;1;2;4;
8994;1;4;2;
5594;1;4;2;
7218;1;4;2;
9008;3;2;3;
5070;3;3;3;
5071;1;4;2;
5072;1;4;2;
5069;3;3;3;
5073;3;3;3;
5074;3;3;3;
5075;3;3;3;
9481;1;4;4;
7775;1;4;4;
7272;3;2;2;
7273;1;1;1;
7267;3;2;2;
8203;3;3;3;
9007;3;4;4;
5925;1;2;2;
5336;1;2;2;
5926;1;2;2;
5337;1;2;2;
7278;3;1;2;
7233;1;1;5;
8999;3;2;3;
7279;3;3;3;
9004;3;4;4;
9000;3;2;3;
7280;3;3;3;
7224;1;1;2;
7223;3;1;2;
7276;3;1;5;
7277;3;1;5;
7266;3;2;2;
7268;3;4;3;
7274;1;1;1;
7275;1;1;1;
7229;3;1;2;
7227;3;1;2;
7232;3;1;5;
5596;3;2;2;
5970;3;2;3;
5969;3;2;3;
9053;3;2;3;
5335;3;2;3;
7222;3;2;3;
7678;3;4;3;
7939;3;2;3;
7940;3;2;3;
7815;3;2;2;
7647;3;2;2;
7813;1;1;3;
7722;3;4;2;
7723;3;4;2;
7676;3;2;2;
7677;3;2;3;
7951;3;2;3;
7952;1;1;5;
9015;3;1;3;
9017;3;3;3;
9014;3;1;3;
9018;3;3;3;
8419;3;1;3;
8420;3;1;3;
9478;2;2;4;
9477;3;2;3;
9064;1;2;2;
5599;1;2;2;
7237;1;2;2;
5929;1;2;1;
5928;3;2;3;
6848;3;2;3;
5930;2;2;4;
6603;3;2;2;
7234;1;2;3;
7725;3;1;2;
7727;3;1;2;
7773;3;2;2;
7774;3;2;2;
8996;1;1;3;
8997;1;3;3;
5598;1;3;3;
5933;1;3;3;
7240;1;3;3;
7818;3;2;2;
7724;1;1;1;
8888;3;2;2;
8890;1;4;2;
9010;1;1;1;
8417;3;3;2;
8425;3;4;5;
8424;3;2;3;
6850;3;2;3;
5852;3;2;3;
6851;3;2;2;
9021;1;1;1;
5342;1;1;1;
5853;3;1;3;
9482;1;1;3;
5851;3;2;3;
5068;3;3;2;
5067;3;2;3;
5064;3;2;3;
5066;3;2;2;
7648;3;1;2;
7649;3;1;2;
7812;3;2;2;
8423;1;1;3;
9009;3;4;4;
7817;1;2;5;
