SampleID;x1;x2;y;RandomEffect
1;11.3;2.402;66.91;21
2;9.2;0;9.95;21
3;18.3;2.402;72.01;21
4;25.7;2.402;83.1;21
5;15.5;2.402;76.17;21
6;19.2;4.804;63.63;21
7;23.1;0;78.01;21
8;14.6;28.824;14.05;21
9;17.6;28.824;6.18;21
10;18.1;31.226;7.89;21
11;19.5;31.226;7.31;21
12;18.3;31.226;2.23;21
13;28.5;33.628;4.53;21
14;38.6;31.226;36.54;21
15;16.5;55.246;1.2;21
16;23.2;62.452;3.12;21
17;19.3;64.854;0.45;21
18;25.6;64.854;2.52;21
19;25.9;67.256;1.92;21
20;25.6;55.246;2.31;21
21;39.8;76.864;5.85;21
22;14.5;2.402;31.75;28
23;9.4;2.402;1.23;28
24;18.6;2.402;31.82;28
25;26.3;4.804;81.4;28
26;12.9;4.804;49.29;28
27;15.5;4.804;28.82;28
28;15.8;4.804;60.63;28
29;17.5;28.824;3.39;28
30;18.7;28.824;0.7;28
31;19.9;28.824;1.89;28
32;20.4;33.628;0.69;28
33;13;33.628;0.36;28
34;28.2;31.226;0.23;28
35;36.4;28.824;0.45;28
36;14.2;48.04;0.84;28
37;22.1;52.844;0.42;28
38;19.2;52.844;1.28;28
39;24.3;50.442;0.51;28
40;27.1;55.246;0.03;28
41;26.8;45.638;0.55;28
42;37.9;62.452;0.97;28
43;12.5;2.402;2.68;35
44;14.1;2.402;0.42;35
45;10.3;2.402;0.65;35
46;18.7;4.804;39.89;35
47;12.3;2.402;4.71;35
48;16.2;2.402;7.86;35
49;11.4;2.402;22.57;35
50;14.1;24.02;0.75;35
51;12.7;24.02;0.05;35
52;15.3;24.02;75.95;35
53;16.6;24.02;0.27;35
54;12.4;24.02;0.12;35
55;18.6;24.02;0.03;35
56;34.7;24.02;0.08;35
57;12.3;36.03;0.18;35
58;21;45.638;0.12;35
59;16.5;45.638;0.56;35
60;24.8;43.236;0.1;35
61;21.2;45.638;0.08;35
62;20.7;31.226;0.33;35
63;31.1;57.648;0.33;35
64;10.9;2.402;0.36;42
65;10.2;2.402;1.37;42
66;11;2.402;1.11;42
67;11.4;2.402;2.88;42
68;10.1;2.402;0.05;42
69;14.6;2.402;0;42
70;13.5;2.402;0.68;42
71;13.5;21.618;0.07;42
72;12.2;16.814;0;42
73;12.3;21.618;0;42
74;11.4;24.02;0.01;42
75;8.8;21.618;15.44;42
76;18.9;24.02;0;42
77;20.4;26.422;0;42
78;9.1;28.824;0.08;42
79;17.2;38.432;0;42
80;14.1;36.03;0.14;42
81;16.9;38.432;0;42
82;17.2;38.432;0.7;42
83;14.2;45.638;0.36;42
84;28.8;48.04;0.85;42
85;14.9;0;1.08;49
86;8.9;0;1.03;49
87;12.9;0;0.9;49
88;12.3;0;3.96;49
89;11.5;0;0.26;49
90;13.3;0;0.61;49
91;13.5;0;0.88;49
92;13.9;12.01;0.24;49
93;11.8;14.412;0;49
94;13.8;14.412;0.37;49
95;12.9;14.412;0.05;49
96;10.2;14.412;0.05;49
97;14.7;14.412;0;49
98;21.7;19.216;0.27;49
99;10.8;21.618;0.37;49
100;21.1;26.422;0.35;49
101;15.8;24.02;0;49
102;21;24.02;0.05;49
103;15.8;24.02;0;49
104;12.1;19.216;0.88;49
105;27.2;24.02;0.1;49
