SampleID;x1;x2;y
site_02;0.246666667;3.908;0.457555145
site_03;0.334;7.627;0.352038848
site_04;0.344545455;13.79;0.367114556
site_05;0.2;1.677;0.391649754
site_06;0.408;16;0.34358355
site_07;0.168;2.253;0.534195971
site_08;0.221774567;7.627;0.551181408
site_09;0.421;16;0.434935892
site_10;0.602552174;24.82;0.421976775
site_11;0.638435925;2.253;0.581174708
site_12;0.876091304;92.6;0.649811986
site_13;0.811258467;1.617;0.557819921
site_14;0.613;1.617;0.557819921
site_15;1.198352733;8.756;0.599068574
site_16;3.448648955;8.756;0.669670994
site_17;2.548832567;1.617;0.652548492
site_18;0.4037926;5.5;0.743580994
site_19;4.423670573;12.9;0.687351558
site_20;3.571285933;1.617;0.537884112
site_21;0.390585233;7.627;0.555763353
site_22;0.5;1.617;0.655167706
site_23;0.477469167;1.617;0.536575779
