SampleID;x1;x2;y;RandomEffect
1;19.7;2.402;13.28;3
2;17.3;2.402;17.03;3
3;17.5;2.402;2.1;3
4;20.4;2.402;18.19;3
5;17.3;2.402;13.24;3
6;26.1;2.402;15.03;3
7;16.4;4.804;7.66;3
8;16.3;4.804;2.53;3
9;14.5;4.804;10.8;3
10;16.1;4.804;24.72;3
11;12.7;0;24.1;3
12;16.4;2.402;20.62;3
13;20;0;16.43;3
14;14.4;2.402;15.14;3
15;15.1;2.402;7.85;3
16;17;4.804;13.75;3
17;18.9;2.402;29.91;3
18;19.7;2.402;19.81;3
19;15.5;2.402;25.91;3
20;15.1;2.402;17.77;3
21;12.8;0;8;3
22;14.4;2.402;17.71;10
23;14.6;4.804;28.49;10
24;21.8;4.804;15.19;10
25;28.3;4.804;6.08;10
26;34.8;4.804;18.7;10
27;34;4.804;23.12;10
28;44.7;4.804;29.77;10
29;18.4;40.834;25.11;10
30;22.5;48.04;24.75;10
31;21.9;48.04;16.19;10
32;24.3;48.04;14.83;10
33;21.3;48.04;17.68;10
34;42.8;55.246;8.09;10
35;54.8;48.04;13.23;10
36;17.7;76.864;8.32;10
37;21.3;79.266;11.76;10
38;21.5;93.678;13.59;10
39;26.1;96.08;11.53;10
40;30.3;86.472;17.43;10
41;37.5;69.658;15.17;10
42;44.3;81.668;29.69;10
43;12.8;4.804;9.88;14
44;11.8;4.804;23.32;14
45;17.7;4.804;13.26;14
46;21.8;2.402;11.28;14
47;18.4;4.804;19.04;14
48;22.9;4.804;14.62;14
49;27;4.804;10.93;14
50;18.9;36.03;44.58;14
51;22.4;38.432;14.01;14
52;18.8;40.834;15.6;14
53;19.8;40.834;9.22;14
54;19.8;40.834;19.03;14
55;30.5;48.04;7.95;14
56;38.8;40.834;5.56;14
57;15.6;69.658;9.04;14
58;21;74.462;7.92;14
59;20.1;79.266;16.48;14
60;26.9;76.864;6.46;14
61;27;74.462;14.4;14
62;31.1;62.452;9.43;14
63;43.3;79.266;15.71;14
64;11.3;2.402;15.34;21
65;9.2;0;52.57;21
66;18.3;2.402;13.15;21
67;25.7;2.402;5.47;21
68;15.5;2.402;18.25;21
69;19.2;4.804;27.21;21
70;23.1;0;3.2;21
71;14.6;28.824;78.24;21
72;17.6;28.824;82.91;21
73;18.1;31.226;83.24;21
74;19.5;31.226;85.06;21
75;18.3;31.226;88.24;21
76;28.5;33.628;45.74;21
77;38.6;31.226;51.56;21
78;16.5;55.246;65.92;21
79;23.2;62.452;68.38;21
80;19.3;64.854;74.66;21
81;25.6;64.854;55.39;21
82;25.9;67.256;64.79;21
83;25.6;55.246;39.33;21
84;39.8;76.864;53.23;21
85;14.5;2.402;42.12;28
86;9.4;2.402;36.09;28
87;18.6;2.402;54.32;28
88;26.3;4.804;3.11;28
89;12.9;4.804;31.3;28
90;15.5;4.804;41.12;28
91;15.8;4.804;3.83;28
92;17.5;28.824;68.6;28
93;18.7;28.824;91.45;28
94;19.9;28.824;87.09;28
95;20.4;33.628;90.67;28
96;13;33.628;88.97;28
97;28.2;31.226;67.77;28
98;36.4;28.824;82.03;28
99;14.2;48.04;82.41;28
100;22.1;52.844;56.62;28
101;19.2;52.844;50.46;28
102;24.3;50.442;28.3;28
103;27.1;55.246;62.14;28
104;26.8;45.638;77.24;28
105;37.9;62.452;28.1;28
106;12.5;2.402;62;35
107;14.1;2.402;72.38;35
108;10.3;2.402;68.71;35
109;18.7;4.804;6.25;35
110;12.3;2.402;60.52;35
111;16.2;2.402;43.11;35
112;11.4;2.402;25.17;35
113;14.1;24.02;50.6;35
114;12.7;24.02;70.74;35
115;15.3;24.02;15.66;35
116;16.6;24.02;52.5;35
117;12.4;24.02;29.28;35
118;18.6;24.02;20.75;35
119;34.7;24.02;5.94;35
120;12.3;36.03;35.68;35
121;21;45.638;87.67;35
122;16.5;45.638;76.01;35
123;24.8;43.236;87.51;35
124;21.2;45.638;78.08;35
125;20.7;31.226;59.71;35
126;31.1;57.648;80.91;35
127;10.9;2.402;64.85;42
128;10.2;2.402;59.85;42
129;11;2.402;28.22;42
130;11.4;2.402;20.34;42
131;10.1;2.402;35.58;42
132;14.6;2.402;46.68;42
133;13.5;2.402;22.04;42
134;13.5;21.618;85.85;42
135;12.2;16.814;84.72;42
136;12.3;21.618;64.97;42
137;11.4;24.02;52.9;42
138;8.8;21.618;48.97;42
139;18.9;24.02;43.65;42
140;20.4;26.422;8.5;42
141;9.1;28.824;87.68;42
142;17.2;38.432;76.01;42
143;14.1;36.03;70.46;42
144;16.9;38.432;85.64;42
145;17.2;38.432;75.96;42
146;14.2;45.638;86.28;42
147;28.8;48.04;62.85;42
148;14.9;0;82.76;49
149;8.9;0;75.64;49
150;12.9;0;71.97;49
151;12.3;0;47.1;49
152;11.5;0;70.81;49
153;13.3;0;73.85;49
154;13.5;0;31.89;49
155;13.9;12.01;78.86;49
156;11.8;14.412;68.62;49
157;13.8;14.412;25.3;49
158;12.9;14.412;73.58;49
159;10.2;14.412;46.39;49
160;14.7;14.412;19.21;49
161;21.7;19.216;31.09;49
162;10.8;21.618;30.96;49
163;21.1;26.422;62.77;49
164;15.8;24.02;30.18;49
165;21;24.02;73.53;49
166;15.8;24.02;89.53;49
167;12.1;19.216;80.98;49
168;27.2;24.02;91.59;49
