SampleID;x1;x2;y;RandomEffect ; 
NW_451903_04.06.2007;2.5;0.885999755;1.668;T5;
NW_461003_05.06.2007;2.5;0.665762172;1.59;T5;
NW_460205_18.06.2007;2.5;0.665762172;1.733;T5;
NW_433007_19.04.2007;2.5;0.828025696;1.94;T5;
NW_430924_26.04.2007;2.5;0.633891585;1.562;T5;
NW_431000_02.05.2007;4.625;0.633891585;1.563;T5;
NW_686499_25.04.2012;4.732;0.769657322;1.616;T5;
NW_686499_08.05.2008;4.81;0.769657322;1.576;T5;
NW_685550_10.04.2012;4.884;0.667620922;1.456;T5;
NW_685811_03.05.2012;5.362;0.701344929;1.581;T5;
NW_685598_25.04.2012;6.03;0.769657322;1.669;T5;
NW_451800_14.05.2007;6.428571;0.885999755;1.754;T5;
NW_430602_20.03.2012;6.6;0.633891585;1.782;T5;
NW_629145_28.03.2012;7.196;0.845706456;1.588;T5;
NW_284907_22.03.2007;7.4;0.973102426;2.072;T5;
NW_420323_28.05.2008;7.71;0.633891585;1.558;T5;
NW_629145_28.09.2005;7.75;0.845706456;1.719;T5;
NW_629145_03.05.2005;7.75;0.845706456;1.663;T5;
NW_686608_07.05.2012;8.114;0.769657322;1.603;T5;
NW_414207_24.04.2008;8.128;0.656287746;1.562;T5;
NW_451903_27.04.2009;8.175;0.885999755;1.616;T5;
NW_282601_21.03.2007;8.3;0.973102426;2.163;T5;
NW_451903_19.03.2012;8.425;0.885999755;1.594;T5;
NW_630408_28.03.2012;8.874;0.845706456;1.607;T5;
NW_685598_19.05.2009;9.055;0.769657322;1.623;T5;
NW_410305_23.07.2007;9.32;0.667620922;1.76;T5;
NW_285705_28.03.2007;9.45;0.973102426;1.795;T5;
NW_412107_21.05.2012;9.5625;0.667620922;1.654;T5;
NW_412703_11.06.2012;9.568;0.667620922;1.659;T5;
NW_210201_28.04.2008;9.575;0.920170121;1.748;T5;
HE_11053_12.03.2007;9.707692;0.452161617;1.613;T5.1;
NW_685549_19.06.2012;9.78;0.667620922;1.818;T5;
NW_430602_18.05.2004;9.8;0.633891585;1.992;T5;
NW_210407_16.04.2008;9.85;0.920170121;1.667;T5;
NW_410755_10.04.2012;9.892;0.667620922;1.583;T5;
NW_600416_20.05.2008;10;0.734176489;1.81;T5;
NW_409108_19.04.2012;10.404;0.667620922;1.719;T5;
NW_412200_22.05.2012;10.54;0.667620922;1.714;T5;
NW_210407_02.05.2005;10.6;0.920170121;1.785;T5;
NW_410755_05.05.2009;10.615;0.667620922;1.621;T5;
HE_10140_24.04.2008;10.623077;0.677184608;1.735;T5.1;
NW_441806_18.04.2007;10.625;0.906132861;1.5;T5;
NW_630408_22.09.2005;10.75;0.845706456;1.817;T5;
NW_630408_13.04.2005;10.75;0.845706456;1.577;T5;
NW_412508_11.06.2012;11.06;0.667620922;1.855;T5;
NW_228199_17.04.2008;11.1;0.54556297;1.814;T5;
NW_686189_22.05.2012;11.3;0.667620922;1.752;T5;
NW_400208_02.05.2007;11.466667;0.667620922;1.675;T5;
NW_415900_20.03.2012;11.52;0.769657322;1.531;T5;
NW_281505_21.03.2007;11.55;0.973102426;1.919;T5;
NW_279407_13.05.2008;11.6;0.877003936;1.781;T5;
NW_412200_29.04.2009;11.6;0.667620922;1.596;T5;
NW_414554_14.06.2012;11.716;0.656287746;1.814;T5;
