SampleID;x1;x2;y;RandomEffect
1;2;11;83;D
2;2;11;72;D
3;2;11;50;N
4;2;11;61;D
5;2;11;61;N
6;2;11;53;D
7;2;3.5;35;D
8;2;3.5;30;D
9;2;3.5;55;N
10;2;11;58;D
11;2;3.5;67;N
12;2;3.5;68;D
13;2;11;53;N
14;2;11;54;D
15;2;3.5;62;D
16;2;3.5;42;D
17;2;3.5;37;N
18;2;11;50;N
19;2;11;51;N
20;2;3.5;78;N
21;2;3.5;65;D
22;2;11;75;D
23;2;11;38;D
24;2;3.5;72;D
25;2;11;65;N
26;2;3.5;50;N
27;2;11;59;D
28;2;3.5;37;D
29;1;11;30;N
30;1;11;14;N
31;1;3.5;24;N
32;1;3.5;42;N
33;1;11;31;N
34;1;3.5;52;N
35;1;11;41;N
36;1;11;29;N
37;1;3.5;30;N
38;1;3.5;15;N
39;1;11;23;N
40;1;11;53;D
41;1;3.5;55;D
42;1;11;53;D
43;1;3.5;44;D
44;1;11;24;D
45;1;3.5;12;D
46;1;11;19;D
47;1;3.5;19;D
48;1;11;25;D
49;1;11;33;D
50;1;3.5;41;D
51;1;3.5;12;D
