SampleID;x1;x2;y
1;1;Ambient;0.000
2;1;A2+%50;0.018
3;0;Ambient;0.000
4;0;A2+%50;0.000
5;0;Ambient;0.000
6;0;A2+%50;0.000
7;1;Ambient;0.114
8;1;A2+%50;0.006
9;0;Ambient;0.000
10;0;A2+%50;0.000
11;1;Ambient;0.025
12;1;A2+%50;0.000
13;1;Ambient;0.000
14;1;A2+%50;0.020
15;0;Ambient;0.000
16;0;A2+%50;0.000
17;1;Ambient;0.000
18;1;A2+%50;0.016
19;0;Ambient;0.000
20;0;A2+%50;0.000
21;0;Ambient;0.000
22;0;A2+%50;0.000
23;1;Ambient;0.023
24;1;A2+%50;0.000
25;0;Ambient;0.000
26;0;A2+%50;0.000
27;1;Ambient;0.033
28;1;A2+%50;0.000
29;1;Ambient;0.000
30;1;A2+%50;0.062
31;0;Ambient;0.000
32;0;A2+%50;0.000
33;1;Ambient;0.000
34;1;A2+%50;0.010
35;0;Ambient;0.000
36;0;A2+%50;0.000
37;0;Ambient;0.000
38;0;A2+%50;0.000
39;1;Ambient;0.003
40;1;A2+%50;0.004
41;0;Ambient;0.000
42;0;A2+%50;0.000
43;1;Ambient;0.015
44;1;A2+%50;0.000
45;1;Ambient;0.000
46;1;A2+%50;0.008
47;0;Ambient;0.000
48;0;A2+%50;0.000
49;1;Ambient;0.000
50;1;A2+%50;0.004
51;0;Ambient;0.000
52;0;A2+%50;0.000
53;0;Ambient;0.000
54;0;A2+%50;0.000
55;1;Ambient;0.069
56;1;A2+%50;0.023
57;0;Ambient;0.000
58;0;A2+%50;0.000
59;1;Ambient;0.010
60;1;A2+%50;0.000
61;1;Ambient;0.000
62;1;A2+%50;0.012
63;0;Ambient;0.000
64;0;A2+%50;0.000
65;1;Ambient;0.000
66;1;A2+%50;0.044
67;0;Ambient;0.000
68;0;A2+%50;0.000
69;0;Ambient;0.000
70;0;A2+%50;0.000
71;1;Ambient;0.023
72;1;A2+%50;0.007
73;0;Ambient;0.000
74;0;A2+%50;0.000
75;1;Ambient;0.049
76;1;A2+%50;0.001
77;1;Ambient;0.000
78;1;A2+%50;0.014
79;0;Ambient;0.000
80;0;A2+%50;0.000
81;1;Ambient;0.000
82;1;A2+%50;0.024
83;0;Ambient;0.000
84;0;A2+%50;0.000
85;0;Ambient;0.000
86;0;A2+%50;0.000
87;1;Ambient;0.051
88;1;A2+%50;0.044
89;0;Ambient;0.000
90;0;A2+%50;0.000
91;1;Ambient;0.001
92;1;A2+%50;0.002
93;1;Ambient;0.000
94;1;A2+%50;0.003
95;0;Ambient;0.000
96;0;A2+%50;0.000
97;1;Ambient;0.000
98;1;A2+%50;0.011
99;0;Ambient;0.000
100;0;A2+%50;0.000
101;0;Ambient;0.000
102;0;A2+%50;0.000
103;1;Ambient;0.159
104;1;A2+%50;0.002
105;0;Ambient;0.000
106;0;A2+%50;0.000
107;1;Ambient;0.001
108;1;A2+%50;0.001
109;1;Ambient;0.000
110;1;A2+%50;0.032
111;0;Ambient;0.000
112;0;A2+%50;0.000
113;1;Ambient;0.000
114;1;A2+%50;0.005
115;0;Ambient;0.000
116;0;A2+%50;0.000
117;0;Ambient;0.000
118;0;A2+%50;0.000
119;1;Ambient;0.158
120;1;A2+%50;0.022
121;0;Ambient;0.000
122;0;A2+%50;0.000
123;1;Ambient;0.006
124;1;A2+%50;0.003
125;1;Ambient;0.000
126;1;A2+%50;0.002
127;0;Ambient;0.000
128;0;A2+%50;0.000
129;1;Ambient;0.000
130;1;A2+%50;0.005
131;0;Ambient;0.000
132;0;A2+%50;0.000
133;0;Ambient;0.000
134;0;A2+%50;0.000
135;1;Ambient;0.010
136;1;A2+%50;0.000
137;0;Ambient;0.000
138;0;A2+%50;0.000
139;1;Ambient;0.011
140;1;A2+%50;0.000
141;1;Ambient;0.000
142;1;A2+%50;0.015
143;0;Ambient;0.000
144;0;A2+%50;0.000
145;1;Ambient;0.000
146;1;A2+%50;0.000
147;0;Ambient;0.000
148;0;A2+%50;0.000
149;0;Ambient;0.000
150;0;A2+%50;0.000
151;1;Ambient;0.026
152;1;A2+%50;0.000
153;0;Ambient;0.000
154;0;A2+%50;0.000
155;1;Ambient;0.017
156;1;A2+%50;0.000
157;1;Ambient;0.000
158;1;A2+%50;0.007
159;0;Ambient;0.000
160;0;A2+%50;0.000
