SampleID;x1;x2;y;RandomEffect1;RandomEffect2
1;1;Ambient;16.62650634;A1;216
2;1;A2+%50;159.0361476;A3;216
3;0;Ambient;1.44578316;B1;216
4;0;A2+%50;194.2168712;B3;216
5;0;Ambient;1.80722895;C1;216
6;0;A2+%50;9.4;C3;216
7;1;Ambient;872.3;D1;216
8;1;A2+%50;134.9;D3;216
9;0;Ambient;4.6;E1;216
10;0;A2+%50;8.6;E3;216
11;1;Ambient;213.3;F1;216
12;1;A2+%50;148.2;F3;216
13;1;Ambient;197.6;G1;216
14;1;A2+%50;156.6;G3;216
15;0;Ambient;1.1;H1;216
16;0;A2+%50;3.4;H3;216
17;1;Ambient;16.3;A1;219
18;1;A2+%50;118.1;A3;219
19;0;Ambient;2.4;B1;219
20;0;A2+%50;190.4;B3;219
21;0;Ambient;1.9;C1;219
22;0;A2+%50;6.6;C3;219
23;1;Ambient;828.9;D1;219
24;1;A2+%50;24.1;D3;219
25;0;Ambient;4.1;E1;219
26;0;A2+%50;9.9;E3;219
27;1;Ambient;159;F1;219
28;1;A2+%50;81.9;F3;219
29;1;Ambient;224.1;G1;219
30;1;A2+%50;120.5;G3;219
31;0;Ambient;1.2;H1;219
32;0;A2+%50;3;H3;219
33;1;Ambient;13;A1;223
34;1;A2+%50;175.9;A3;223
35;0;Ambient;1.2;B1;223
36;0;A2+%50;172.3;B3;223
37;0;Ambient;2.2;C1;223
38;0;A2+%50;6.3;C3;223
39;1;Ambient;886.7;D1;223
40;1;A2+%50;35.2;D3;223
41;0;Ambient;3.6;E1;223
42;0;A2+%50;6;E3;223
43;1;Ambient;190.4;F1;223
44;1;A2+%50;30.1;F3;223
45;1;Ambient;388;G1;223
46;1;A2+%50;163.9;G3;223
47;0;Ambient;1.7;H1;223
48;0;A2+%50;4.8;H3;223
49;1;Ambient;11.1;A1;226
50;1;A2+%50;137.3;A3;226
51;0;Ambient;2;B1;226
52;0;A2+%50;153.4;B3;226
53;0;Ambient;2.8;C1;226
54;0;A2+%50;6.5;C3;226
55;1;Ambient;674.7;D1;226
56;1;A2+%50;93.5;D3;226
57;0;Ambient;3.7;E1;226
58;0;A2+%50;2;E3;226
59;1;Ambient;134.9;F1;226
60;1;A2+%50;13;F3;226
61;1;Ambient;313.3;G1;226
62;1;A2+%50;101.2;G3;226
63;0;Ambient;0.8;H1;226
64;0;A2+%50;5.1;H3;226
65;1;Ambient;5.1;A1;233
66;1;A2+%50;134.9;A3;233
67;0;Ambient;0.7;B1;233
68;0;A2+%50;114.5;B3;233
69;0;Ambient;4.5;C1;233
70;0;A2+%50;6.7;C3;233
71;1;Ambient;669.9;D1;233
72;1;A2+%50;403.6;D3;233
73;0;Ambient;6;E1;233
74;0;A2+%50;1.1;E3;233
75;1;Ambient;207.2;F1;233
76;1;A2+%50;7.7;F3;233
77;1;Ambient;274.7;G1;233
78;1;A2+%50;221.7;G3;233
79;0;Ambient;1.2;H1;233
80;0;A2+%50;2.4;H3;233
81;1;Ambient;9.4;A1;240
82;1;A2+%50;108.4;A3;240
83;0;Ambient;1;B1;240
84;0;A2+%50;109.2;B3;240
85;0;Ambient;2.5;C1;240
86;0;A2+%50;6.3;C3;240
87;1;Ambient;534.9;D1;240
88;1;A2+%50;236.1;D3;240
89;0;Ambient;3.6;E1;240
90;0;A2+%50;1.6;E3;240
91;1;Ambient;227.7;F1;240
92;1;A2+%50;6;F3;240
93;1;Ambient;588;G1;240
94;1;A2+%50;126.9;G3;240
95;0;Ambient;1;H1;240
96;0;A2+%50;1.9;H3;240
97;1;Ambient;8.6;A1;247
98;1;A2+%50;84.9;A3;247
99;0;Ambient;1.3;B1;247
100;0;A2+%50;106.8;B3;247
101;0;Ambient;3.1;C1;247
102;0;A2+%50;7.8;C3;247
103;1;Ambient;594.4;D1;247
104;1;A2+%50;34.9;D3;247
105;0;Ambient;3.6;E1;247
106;0;A2+%50;1.7;E3;247
107;1;Ambient;231.3;F1;247
108;1;A2+%50;5.3;F3;247
109;1;Ambient;643.1;G1;247
110;1;A2+%50;134;G3;247
111;0;Ambient;1.2;H1;247
