SampleID;x1;x2;y
site_02;3.908;0.246666667;0.457555145
site_03;7.627;0.334;0.352038848
site_04;13.79;0.344545455;0.367114556
site_05;1.677;0.2;0.391649754
site_06;16;0.408;0.34358355
site_07;2.253;0.168;0.534195971
site_08;7.627;0.221774567;0.551181408
site_09;16;0.421;0.434935892
site_10;24.82;0.602552174;0.421976775
site_11;2.253;0.638435925;0.581174708
site_12;92.6;0.876091304;0.649811986
site_13;1.617;0.811258467;0.557819921
site_14;1.617;0.613;0.557819921
site_15;8.756;1.198352733;0.599068574
site_16;8.756;3.448648955;0.669670994
site_17;1.617;2.548832567;0.652548492
site_18;5.5;0.4037926;0.743580994
site_19;12.9;4.423670573;0.687351558
site_20;1.617;3.571285933;0.537884112
site_21;7.627;0.390585233;0.555763353
site_22;1.617;0.5;0.655167706
site_23;1.617;0.477469167;0.536575779
