SampleID;x1;x2;y;RandomEffect1;RandomEffect2
1;50.13636364;13.72173913;3.218148526;Leven;1990
2;54.53333333;13.5076087;6.157828337;Leven;1992
3;34.685;12.38681304;1.808301631;Leven;1993
4;52.2125;13.15543478;16.17662755;Leven;1994
5;29.01818182;14.73423913;18.88560727;Leven;1995
6;33;13.74293478;5.414879897;Leven;1996
7;36.53333333;14.52119565;4.903126615;Leven;1997
8;43.53;12.99891304;3.586311434;Leven;1998
9;54.77777778;13.4125;10.71359971;Leven;1999
10;51.5;14.54129728;1.570103592;Leven;2005
11;38.51428571;15.06477826;1.739257136;Leven;2006
12;24.69488846;13.53100598;1.361555234;Leven;2007
13;26.4766723;14.05380435;0.274261538;Leven;2008
14;31.15271191;14.10869565;3.625023525;Leven;2009
15;41.69259131;14.1625;0.256943542;Leven;2010
16;30.32934591;12.79728261;2.622764082;Leven;2011
17;31.65739711;12.86864022;0.215481485;Leven;2012
18;30.81554725;14.70434783;4.540756917;Leven;2013
19;23.39519759;14.44782609;1.020705436;Leven;2014
20;88.33333333;16.87282609;3.851538462;Muegg;1979
21;93.83333333;16.44456522;8.353076923;Muegg;1980
22;71.81818182;17.21630435;6.01;Muegg;1981
23;117.8181818;18.85869565;4.223571429;Muegg;1982
24;100.1818182;19.08804348;13.56076923;Muegg;1983
25;91.27272727;16.29130435;4.605384615;Muegg;1984
26;98;16.6173913;8.660833333;Muegg;1985
27;106.3;17.47282609;13.78230769;Muegg;1986
28;113.0909091;16.19456522;8.362857143;Muegg;1987
29;118.9230769;17.43478261;15.83692308;Muegg;1988
30;127.0769231;17.88695652;13.50769231;Muegg;1989
31;130.9230769;17.55;7.53;Muegg;1990
32;109.1818182;18.14130435;3.838461538;Muegg;1991
33;113.6153846;20.35;6.645714286;Muegg;1992
34;90.07142857;16.26304348;1.3;Muegg;1993
35;80.66666667;19.38152174;2.351538462;Muegg;1994
36;97.5;18.88478261;4.660769231;Muegg;1995
37;77.75;17.02173913;1.42;Muegg;1996
38;80;19.2576087;6.5975;Muegg;1997
39;72.5;17.34456522;5.297857143;Muegg;1998
40;65.75;18.55217391;9.103846154;Muegg;1999
41;68.55555556;17.81086957;4.6575;Muegg;2000
42;60.72727273;17.96521739;1.659230769;Muegg;2001
43;72.54545455;19.04130435;1.863076923;Muegg;2002
44;84.90909091;19.84347826;0.181538462;Muegg;2003
45;73.33333333;17.65652174;0.161428571;Muegg;2004
46;65.08333333;17.39782609;0.746923077;Muegg;2005
47;72.81818182;19.70108696;6.879230769;Muegg;2006
48;66.25;18.35108696;2.373076923;Muegg;2007
49;53.30769231;18.91304348;3.714615385;Muegg;2008
50;62.33333333;18.35978261;0.774285714;Muegg;2009
51;64.23076923;19.70434783;1.766923077;Muegg;2010
52;53.09090909;18.25869565;0.355384615;Muegg;2011
53;62.54545455;17.96956522;3.430064392;Muegg;2012
54;43.45454545;19.26847826;1.600003792;Muegg;2013
55;39.27272727;18.67826087;0.755941762;Muegg;2014
75;28.33333333;16.16666667;14.2635;Vort;1983
76;90;15.16666667;7.2132485;Vort;1984
77;15.33333333;15.6;7.754019333;Vort;1985
78;420;16.33333333;5.02014235;Vort;1986
79;279;14.3;3.620816667;Vort;1987
80;55.33333333;17.4;11.30686763;Vort;1988
81;37.96666667;16.2;18.48434562;Vort;1989
82;60;15.06666667;3.83017;Vort;1990
83;57.3;15.96666667;11.882002;Vort;1991
84;43.33333333;16.8;10.62668853;Vort;1992
85;43.33333333;14.23333333;15.76915859;Vort;1993
86;40;16.26666667;4.743825;Vort;1994
87;49.46153846;17;13.93884133;Vort;1995
88;42.75;15.66666667;29.56176033;Vort;1996
89;50.71428571;17.5;18.78002667;Vort;1997
90;41.7;15.36666667;21.32330105;Vort;1998
91;51.9;18.1;5.407250667;Vort;1999
92;43;15.43333333;14.69002681;Vort;2000
93;46.33333333;17.36666667;8.426801427;Vort;2001
94;40.66666667;18.13333333;15.28333563;Vort;2002
95;42.33333333;16.23333333;16.50698044;Vort;2003
96;35;16.03333333;17.68879477;Vort;2004
97;34.66666667;16.6;9.023225946;Vort;2005
98;35.33333333;17.56666667;16.82703503;Vort;2006
99;39;17.16666667;22.39286977;Vort;2007
100;32;15.76666667;15.95137741;Vort;2008
101;41.33333333;15.76666667;12.7768278;Vort;2009
102;36.33333333;18.63333333;17.44174537;Vort;2010
103;38;18.26666667;17.34678798;Vort;2011
104;29;15.80358423;13.54371029;Vort;2012
105;36;17.79182796;22.579517;Vort;2013
106;33.33333333;16.67480287;18.14564757;Vort;2014
294;34;14.11630435;0.933833681;Rusut;1984
295;43.66666667;14.90326087;0.344402826;Rusut;1985
296;30;15.48478261;0.608082675;Rusut;1986
298;50;16.72065217;0.727282422;Rusut;1988
299;50;15.59456522;1.253718295;Rusut;1989
300;54.5;14.91521739;1.401433524;Rusut;1990
302;44.33333333;15.6173913;0.267186326;Rusut;1992
305;33.5;16.23586957;0.13389439;Rusut;1995
306;24.33333333;14.82934783;0.280071931;Rusut;1996
307;42.33333333;17.20326087;0.732461644;Rusut;1997
308;25.25;14.31521739;0.207658161;Rusut;1998
309;36.66666667;16.80879121;0.317098568;Rusut;1999
314;29.5;14.86195652;0.318039343;Rusut;2004
315;29;15.76195652;0.088628494;Rusut;2005
316;31.2;17.20217391;0.861645983;Rusut;2006
317;41;15.93369565;0.316612819;Rusut;2007
320;26.5;17.60978261;0.450439981;Rusut;2010
321;30;17.525;0.522168098;Rusut;2011
322;48;14.94673913;0.22395908;Rusut;2012
323;34;16.71304348;0.401642147;Rusut;2013
324;36.5;16.21956522;0.274425044;Rusut;2014
325;81;16.775;0.389972192;Tuus;1973
326;95.66666667;14.42282609;0.465110908;Tuus;1974
327;143.3333333;15.13586957;3.366527167;Tuus;1975
328;68.66666667;13.99565217;0.36426149;Tuus;1976
329;125.6666667;14.02065217;1.459491147;Tuus;1977
330;137.5;14.1326087;0.464941397;Tuus;1978
331;94.25;15.18913043;0.339769201;Tuus;1979
332;71.5;15.71521739;0.455532678;Tuus;1980
333;82;14.3076087;0.524812444;Tuus;1981
334;130;14.47608696;0.011792927;Tuus;1982
335;105.3333333;15.225;0.700104623;Tuus;1983
336;64;14.11630435;1.968820945;Tuus;1984
337;108.75;14.90326087;0.50146335;Tuus;1985
338;100;15.48478261;1.021171924;Tuus;1986
339;100;13.03478261;3.716644692;Tuus;1987
340;95.5;16.72065217;1.086042945;Tuus;1988
341;97;15.59456522;0.491193405;Tuus;1989
342;115;14.91521739;0.731547818;Tuus;1990
343;100.3333333;15.21304348;0.765420588;Tuus;1991
344;108;15.6173913;0.130876579;Tuus;1992
345;103;13.43369565;0.31411636;Tuus;1993
346;85.16666667;15.51956522;0.247691165;Tuus;1994
347;73;16.23586957;0.180190514;Tuus;1995
348;76.2;14.82934783;0.101573217;Tuus;1996
349;110;17.20326087;1.368681074;Tuus;1997
350;79;14.31521739;0.08230457;Tuus;1998
351;106.25;16.80879121;0.334745294;Tuus;1999
352;66.25;14.85326087;0.041799879;Tuus;2000
353;114.25;16.29673913;0.061758235;Tuus;2001
354;78;17.31413043;0.154807352;Tuus;2002
355;47.5;16.19021739;0.2232123;Tuus;2003
356;71.25;14.86195652;0.080636369;Tuus;2004
357;102.75;15.76195652;0.050411082;Tuus;2005
358;78.75;17.20217391;0.049388911;Tuus;2006
359;109.25;15.93369565;0.099414434;Tuus;2007
360;150.25;14.80326087;0.024335615;Tuus;2008
361;133.6666667;15.06847826;0.006810539;Tuus;2009
362;82;17.60978261;0.125300837;Tuus;2010
363;78;17.525;0.167619945;Tuus;2011
364;139;14.94673913;0.021218386;Tuus;2012
365;98.25;16.71304348;0.015030848;Tuus;2013
366;110.6666667;16.21956522;0.019776318;Tuus;2014
402;103.3333333;23.4771;0.339;Eymir;2003
403;340;22.2173;0.856;Eymir;2004
404;450;23.3174;3.769;Eymir;2005
405;166.6666667;24.2;0.724;Eymir;2006
406;226.6666667;23.43;7.337;Eymir;2009
407;173.3333333;25.39;2.511;Eymir;2010
408;73.33333333;23.05;4.242;Eymir;2011
409;70;25.03;3.842;Eymir;2012
410;53.33333333;23.45;8.398;Eymir;2013
411;95;24.0858;8.1;Eymir;2014
412;93.33333333;23.3174;7.999;Mogan;2005
413;113.3333333;24.2;1.696;Mogan;2006
414;170;24.5815;0.13;Mogan;2008
415;76.66666667;23.43;4.704;Mogan;2009
416;80;25.39;3.97;Mogan;2010
417;53.33333333;23.05;3.06;Mogan;2011
418;60;25.03;7.83;Mogan;2012
419;60;23.45;2.85;Mogan;2013
420;50;24.0858;3.28;Mogan;2014
567;104.6;14.05392546;18.91;Neagh;2000
568;103;13.97042646;18.66285714;Neagh;2001
569;87.5;14.0364846;23.32857143;Neagh;2002
570;93.86;15.23921692;16.906;Neagh;2003
571;95.14;14.88580584;8.544753957;Neagh;2004
572;99.5;14.62573799;11.71481115;Neagh;2005
573;115.71;15.36696775;9.172871917;Neagh;2006
575;98.86;14.13617618;10.71441967;Neagh;2008
577;93.57;14.24179801;7.671759246;Neagh;2010
578;91.75;12.99444339;9.836799478;Neagh;2011
579;107.43;13.47045743;10.06315226;Neagh;2012
580;82.83;14.80012908;10.00381599;Neagh;2013
