SampleID;x1;x2;y;RandomEffect1;RandomEffect2
4;42.5;19.67649767;2.9125;FRB1L35;2008
5;17.5;19.18709336;3.817592593;FRB1L36;2008
6;83.83;19.09811075;2.546296296;FRB2L05;2008
7;83.83;17.66007452;4.309259259;FRB2L05;2013
10;15;20.36746692;8.745833333;FRCL18;2006
11;15;18.65706655;8.521527778;FRCL18;2011
12;100;19.29039055;2.305555556;FRCL21;2008
16;10;18.46633428;0.227777778;FRCL3;2009
17;39;18.62147351;2.833333333;FRDL10;2010
18;28.5;21.09480298;1.220486111;FRDL106;2009
19;28.5;20.65917511;1.111805556;FRDL106;2013
20;13;21.27663699;2.286222222;FRDL107;2007
21;13;20.59920857;1.820888889;FRDL107;2013
22;51.5;21.50683112;9.690740741;FRDL108;2008
23;8;22.23880974;0;FRDL112;2007
24;8;23.16577633;0.931944444;FRDL112;2013
25;17.25;23.35031852;0;FRDL113;2008
28;20;22.27517655;0;FRDL118;2008
29;39.5;21.7114911;0;FRDL120;2008
30;20;17.74712272;0;FRDL121;2008
31;22.5;21.21357541;0.009444444;FRDL127;2009
32;42.25;21.19655265;0.142222222;FRDL128;2009
33;84;21.08126215;0;FRDL15;2008
34;84;19.96511081;1.882539683;FRDL15;2013
35;17;20.20265567;2.993464052;FRDL16;2008
36;17;19.38981894;10.31143791;FRDL16;2014
37;26;19.94035043;1.382666667;FRDL17;2010
38;67;20.17131832;1.761111111;FRDL2;2008
39;28;19.69584171;2.1625;FRDL3;2011
40;22.5;20.03552313;1.100694444;FRDL42;2010
41;72.25;20.16899703;1.296296296;FRDL43;2008
42;22.75;19.96472393;0.761111111;FRDL44;2010
47;45.75;18.37851232;0.383333333;FRDL6;2008
48;17;18.45666225;0.639548023;FRDL69;2009
49;11.75;19.06251771;0;FRDL70;2009
50;15.25;20.90407071;4.172222222;FRDL71;2008
51;129.5;17.79045338;4.147222222;FRDL7;2008
52;26;17.36024184;0;FRDL74;2010
55;13.5;21.12807474;2.337164751;FRDL90;2010
56;12.5;20.56516305;1.316666667;FRDL91;2012
57;10;21.1408418;0.222777778;FRDL92;2011
64;33.75;24.66068406;0;FREL135;2008
65;15.25;24.16934534;0;FREL140;2009
67;86.67;19.62078682;0.624074074;FRFL10;2011
79;47.5;20.85725812;1.165277778;FRFL23;2011
80;45;19.83241067;1.968333333;FRFL26;2010
84;62.5;21.09983243;1.800925926;FRFL35;2010
