SampleID;x1;x2;y
1;Control;Control;0.586206897
2;Control;Control;0.389108129
3;Control;Control;0.595864662
4;Control;Control;0.504407444
5;Control;Control;0.495114007
6;Control;Low;0.417457306
7;Control;Low;0.37271854
8;Control;Low;0.456683168
9;Control;Low;0.507017544
10;Control;Low;0.38210399
11;Low;Control;0.808510638
12;Low;Control;0.744911805
13;Low;Control;0.604469274
14;Low;Control;0.795248078
15;Low;Control;0.688442211
16;Low;Low;0.745341615
17;Low;Low;0.717888101
18;Low;Low;0.755465587
19;Low;Low;0.837060703
20;Low;Low;0.821263482
