SampleID;x1;x2;y;RandomEffect1;RandomEffect2
4;42.5;19.67649767;0.283333333;FRB1L35;2008
5;17.5;19.18709336;0.362037037;FRB1L36;2008
6;83.83;19.09811075;0.633333333;FRB2L05;2008
7;83.83;17.66007452;0.19537037;FRB2L05;2013
11;15;20.36746692;0.242361111;FRCL18;2006
12;15;18.65706655;0.158333333;FRCL18;2011
14;100;19.29039055;0.784722222;FRCL21;2008
18;10;18.46633428;0.042592593;FRCL3;2009
19;39;18.62147351;0.559444444;FRDL10;2010
20;28.5;21.09480298;0.060069444;FRDL106;2009
21;28.5;20.65917511;0.048958333;FRDL106;2013
22;13;21.27663699;0.217333333;FRDL107;2007
23;13;20.59920857;0.177333333;FRDL107;2013
24;51.5;21.50683112;0.143518519;FRDL108;2008
25;8;22.23880974;0.060416667;FRDL112;2007
27;8;23.16577633;0.109027778;FRDL112;2013
28;17.25;23.35031852;0.226388889;FRDL113;2008
31;20;22.27517655;0.116666667;FRDL118;2008
32;39.5;21.7114911;0.130555556;FRDL120;2008
33;20;17.74712272;0.037962963;FRDL121;2008
34;22.5;21.21357541;0.172777778;FRDL127;2009
35;42.25;21.19655265;0.266111111;FRDL128;2009
36;84;21.08126215;0.086111111;FRDL15;2008
37;84;19.96511081;0.445502646;FRDL15;2013
38;17;20.20265567;0.351960784;FRDL16;2008
39;17;19.38981894;0.670261438;FRDL16;2014
40;26;19.94035043;0.065333333;FRDL17;2010
41;67;20.17131832;0.043055556;FRDL2;2008
42;28;19.69584171;0.146527778;FRDL3;2011
43;22.5;20.03552313;0.009722222;FRDL42;2010
44;72.25;20.16899703;0.006481481;FRDL43;2008
47;22.75;19.96472393;0.077083333;FRDL44;2010
52;45.75;18.37851232;0.540740741;FRDL6;2008
53;17;18.45666225;0.01920904;FRDL69;2009
54;11.75;19.06251771;0.080888889;FRDL70;2009
55;15.25;20.90407071;0.035;FRDL71;2008
56;129.5;17.79045338;0.718055556;FRDL7;2008
57;26;17.36024184;0.014444444;FRDL74;2010
60;13.5;21.12807474;0.017241379;FRDL90;2010
61;12.5;20.56516305;0.011805556;FRDL91;2012
62;10;21.1408418;0.002222222;FRDL92;2011
69;33.75;24.66068406;0.013888889;FREL135;2008
71;15.25;24.16934534;0.253703704;FREL140;2009
73;86.67;19.62078682;0.080555556;FRFL10;2011
92;47.5;20.85725812;0.288888889;FRFL23;2011
93;45;19.83241067;0.092777778;FRFL26;2010
99;62.5;21.09983243;0.068518519;FRFL35;2010
100;20;19.56623662;0.282375479;FRFL36;2010
104;17.5;20.85725812;0.037962963;FRFL40;2012
106;300;21.09944555;0.9625;FRFL41;2012
109;67.5;20.74390202;0.882407407;FRFL42;2011
110;25;21.40353392;0.629166667;FRFL45;2011
113;27.5;20.67581099;0.130555556;FRFL47;2010
123;30;21.41127154;0.768055556;FRFL57;2011
124;25;19.52677477;0.052777778;FRFL58;2011
