SampleID;x1;x2;y;RandomEffect 1;RandomEffect 2
;160.3333333;16.4;11.3;Lojo58;2004
;91.33333333;19.26666667;14.43333333;Lojo58;2005
;76.5;19.05;12;Lojo58;2006
;140;18.95;19.25;Lojo58;2007
;132.5;16.55;4.5;Lojo58;2008
;85.5;16.05;6.9;Lojo58;2009
;81.5;17.85;9.25;Lojo58;2010
;91;18.3;10.75;Lojo58;2011
;105.5;16.7;8.3;Lojo58;2012
;112;19.15;13;Lojo58;2013
;155;15.3;4.2;Lojo58;2014
;145;18.54;93.3;Aura54;1992
;188.4285714;16.45714286;60;Aura54;1993
;182.5;21.15;95;Aura54;1994
;349.3333333;19.16666667;36;Aura54;1995
;199;16.12857143;1.8;Aura54;1996
;212.5;20.56666667;15;Aura54;1997
;230;15.34444444;4.8;Aura54;1998
;120.75;20.9;37;Aura54;1999
;154.6666667;17.05;2.4;Aura54;2000
;157.8;19.76;68;Aura54;2001
;155;22.15;11;Aura54;2002
;89;19.88;52;Aura54;2003
;184;16.85;49;Aura54;2005
;129.75;20.8;18;Aura54;2006
;154;17.92;12;Aura54;2008
;119.2352941;19.18823529;15;Aura54;2009
;92.09090909;20.70909091;21;Aura54;2010
;144.8571429;19.55;39;Aura54;2011
;179.4;17.25;27;Aura54;2012
;78.7;20.31;13;Aura54;2013
;144.5714286;19.7;43;Aura54;2014
;137.6666667;16.91666667;26;Pajo44;1991
;131.6;18.14;17;Pajo44;1992
;161;17.8;22;Pajo44;1993
;90;19.75;14.5;Pajo44;1994
;127.5;17.85;8.6;Pajo44;1995
;240;16.45;1.4;Pajo44;1996
;160;20.25;91;Pajo44;1997
;262.5;14.625;6;Pajo44;1998
;136;19.2;25;Pajo44;1999
;197.5;15.93333333;3.7;Pajo44;2000
;180;19.575;16;Pajo44;2001
;130;20.725;9;Pajo44;2002
;96;19.35;12;Pajo44;2003
;136.6666667;19.2;3.4;Pajo44;2005
;101.25;19.375;29;Pajo44;2006
;237.5;18.075;2.3;Pajo44;2007
;218;17.94;1.9;Pajo44;2008
;122.8571429;18.1;13;Pajo44;2009
;92.4;21.18;11;Pajo44;2010
