SampleID;x1;x2;y;RandomEffect1;RandomEffect2
1;1;0;0.07;6;1
2;1;0;0.19;6;1
3;1;0;0.07;6;1
4;1;0;0.11;6;1
5;1;0;0.08;6;1
6;0;0;0.02;1;1
7;0;0;0.02;1;1
8;0;0;0.03;1;1
9;0;0;0.02;1;1
10;0;0;0.02;1;1
11;0;1;0.04;3;1
12;0;1;0.03;3;1
13;0;1;0.05;3;1
14;0;1;0.16;3;1
15;0;1;0.1;3;1
16;1;1;0.07;2;1
17;1;1;0.07;2;1
18;1;1;0.07;2;1
19;1;1;0.06;2;1
20;1;1;0.04;2;1
21;0;0;0.23;4;2
22;0;0;0.34;4;2
23;0;0;0.31;4;2
24;0;0;0.29;4;2
25;0;0;0.32;4;2
26;1;0;0.34;1;2
27;1;0;0.34;1;2
28;1;0;0.41;1;2
29;1;0;0.34;1;2
30;1;0;0.44;1;2
31;0;1;0.25;3;2
32;0;1;0.48;3;2
33;0;1;0.49;3;2
34;0;1;0.53;3;2
35;0;1;0.38;3;2
36;1;1;0.28;6;2
37;1;1;0.34;6;2
38;1;1;0.43;6;2
39;1;1;0.33;6;2
40;1;1;0.43;6;2
