SampleID;x1;x2;y;RandomEffect1;RandomEffect2
1;470;26.4;1.952940613;7822;L
2;280;26.4;1.393031249;7822;L
3;150;26.4;0.07793;7822;L
4;430;26.4;0.83349;7817;L
5;250;26.4;0.11253;7817;L
6;140;26.4;0.1566;7817;L
7;100;26.4;0.369045512;7723;L
8;77;26.4;0.61406134;7723;L
9;120;26.4;0.43529;7723;L
10;70;60.1;1.2987212;7678;M
11;70;60.1;2.3428112;7678;M
12;60;60.1;2.1763929;7678;M
13;28;37.4;0.2705;7678;M
14;61;37.4;0.147214285;7678;M
15;120;37.4;5.019166667;7678;M
16;110;34.4;9.667892857;7678;M
17;110;34.4;4.105553571;7678;M
18;28.2;94.6;0.1513825;8098;L
19;160;116.3;0.758667107;8098;L
20;12.7;94.6;0.0511264;8064;M
21;140;116.3;0.064653425;8064;M
22;247;28.8;3.462973993;7827;M
23;296;28.8;1.349165176;7827;M
24;173;28.8;4.204920709;7827;M
25;33.5;26.4;0.06116;7804;M
26;30;26.4;0;7804;M
27;36;26.4;0;7804;M
28;30;63.8;1.909477473;3540;M
29;36;63.8;3.257155035;3540;M
30;3;46.4;0.044785;3524;S
31;22;46.4;0.008562;3524;S
32;62;87;0.31804;8216;M
33;32;38.1;2.99201;8257;M
34;30.33333333;84.5;0.675286667;8246;M
35;20;37.9;0.468922145;7770;S
36;13;37.9;1.536759036;7770;S
37;91;116.3;0.284772524;8054;S
38;100;98.8;0.01884;8060;S
39;190;79.1;0.162245032;8060;S
40;53.75;98.8;0.00442;8099;VS
41;75;79.1;0.019249411;8099;VS
42;19;43.3;1.253115635;7795;M
43;29;43.3;0.214986639;7795;M
44;17;43.3;0.730903247;7795;M
45;23;63.3;3.128386373;7826;M
46;25;63.3;0.089865616;7826;M
47;16.5;33.3;0.167353755;7718;M
48;17;20.4;0.026382794;7718;M
49;13;20.4;0.016;7718;M
50;35;25.8;0.004276253;7811;S
51;39;25.8;0.032749839;7811;S
52;35;44.2;2.42;7820;M
53;49;44.2;1.14;7820;M
54;17;33.3;0.157144041;7677;S
55;16.5;33.3;1.014976785;7677;S
56;39;78.9;0.0020382;8232;M
57;29;78.9;0.159987168;8232;M
58;33;22.6;0.0671894;8232;M
59;18;28.8;0.588766425;7774;M
60;68;28.8;2.555158921;7774;M
61;31;28.8;0.177339515;7774;M
62;29;43.3;20.18287202;7661;M
63;36;43.3;3.052830943;7661;M
64;27;43.3;0.898488429;7661;M
65;36.5;44.2;0.722872704;7733;S
66;15;85.1;0.122255776;7673;M
67;26;85.1;0.846815496;7673;M
68;13;85.1;0.107568671;7846;S
69;73;85.1;1.233181874;7846;S
70;28;79.4;0.003126;8219;M
71;54;79.4;0.026037;8219;M
72;35;79.4;0.00151;8219;M
73;49;33.3;0.07076;7834;S
74;12.25;35.2;0.3480252;7689;M
75;11.5;35.2;1.770656084;7689;M
76;13.5;35.2;0.060441932;7689;M
77;22;33.3;3.722539848;7689;M
78;26;33.3;4.529670973;7689;M
79;18;33.3;3.706714107;7689;M
80;18.5;33.3;1.927782556;7689;M
81;11.5;33.3;2.851458817;7689;M
82;10;33.3;0.667902809;7689;M
83;9;20.4;0.04642338;7689;M
84;9.5;20.4;0.013948545;7689;M
85;19.5;20.4;4.471325285;7689;M
86;17;48.8;1.077525068;7689;M
87;10;48.8;0.692526745;7689;M
88;19;48.8;1.363348309;7689;M
89;18;33.6;0.130980335;7660;M
90;26;37.5;0.960100935;7660;M
91;18;37.5;0.501607465;7660;M
92;16;30.2;0.307838988;7660;M
93;15;30.2;0.09752381;7660;M
94;24;33.3;3.791491875;7721;M
95;23;33.3;6.873369357;7721;M
96;64;37.3;0.2365475;7782;L
97;15;37.3;1.2512523;7782;L
98;51;37.3;0.5924433;7782;L
99;43;50.3;0.369473387;7754;S
100;29;50.3;2.3920546;7754;S
101;80;31.8;0.945925467;7726;M
102;190;31.8;0.507795409;7726;M
103;50;31.8;4.424418342;7726;M
104;22;44.2;1.637992926;7769;L
105;15;58.9;0.023937353;7666;S
106;17;58.9;0.178321052;7666;S
107;7;58.9;0.003050884;7666;S
108;34;83.3;0.388305394;7896;VS
109;40;35.2;0.630998403;7679;L
110;30;35.2;0.049562882;7679;L
111;22.5;61.3;0.250816739;7679;L
112;14;61.3;0.237267784;7679;L
113;13.33333333;65.1;0.644466667;8228;M
114;30;62.4;0;8230;M
115;50;47.4;0.55;8235;M
116;38;44.2;0.095585772;7753;M
117;33;44.2;0.200899491;7753;M
118;58;33.3;0.118218483;7824;S
119;60;33.3;0.06776858;7824;S
120;13;72.9;0.056220958;7668;M
121;15;72.9;0.033036604;7668;M
122;10;54.2;0.17464141;7743;S
123;30;54.2;0.221791099;7743;S
124;30;54.2;0.264905283;7743;S
125;77.1;41.5;18.78769692;7948;M
126;96.1;41.5;2.027651318;7948;M
127;96.2;45.9;0.292921812;7948;M
128;110.9;41.5;0.732753096;7948;M
129;117.3;45.9;0.59749541;7948;M
130;119.8;45.9;1.162468817;7948;M
131;130.9;46.1;0.619033371;7948;M
132;164.1;46.1;0.96129265;7948;M
133;176.4;46.1;2.103510996;7948;M
134;30;63.3;0.276588069;7676;M
135;18;63.3;0.819930151;7676;M
136;23;28.8;4.384311075;7781;M
137;26.5;28.8;0.822905432;7781;M
138;6.5;52.1;0.00635;8220;M
139;15;25.8;5.906560157;7866;S
140;25;25.8;6.342149292;7866;S
141;24;64.7;3.294254667;7858;M
142;78;64.7;2.611959934;7858;M
143;22;85.1;0.2719837;7843;M
144;24;85.1;0.429004804;7843;M
145;17;85.1;0.135916985;7847;S
146;21;85.1;0.832713829;7847;S
147;210;30.6;0.059827066;7716;S
148;20;30.6;0.104658912;7716;S
149;5;30.6;0.084410852;7716;S
150;650;41.3;0.55302315;7750;S
151;520;41.3;0.433398827;7750;S
152;191.5;85.1;0.237917211;7864;L
153;182.5;85.1;0.610963131;7864;L
154;240;41.3;6.016792177;7864;L
155;20;35.2;0.00292293;7727;M
156;20;35.2;0.030084623;7727;M
157;20;35.2;0.038890463;7727;M
158;20;41.3;0.02044911;7842;M
159;20;41.3;0.01560451;7842;M
160;20;41.3;0.006329917;7842;M
161;48;33.3;0.609120928;7744;M
162;43;33.3;1.1912582;7744;M
163;19.9;41.7;0.0595;8217;M
164;60;41.3;5.501331102;7731;M
165;20;41.3;2.906436998;7731;M
166;40;41.3;1.53089258;7731;M
167;42;33.3;0.801230004;7773;S
168;26;33.3;0.657685861;7773;S
169;9;39.3;0.1904;8225;M
170;20.5;38.1;0.2014137;8223;M
171;21.5;38.1;0.2324214;8223;M
172;32.5;39.3;0.0485;8223;M
173;49;79.4;0.739149;8255;S
174;113;85.1;3.951426313;7863;L
175;70.75;85.1;2.660542036;7863;L
176;120;41.3;4.335687101;7863;L
177;160;41.3;2.275988685;7863;L
178;26;33.3;0.0497;7837;M
179;24;33.3;0.07183;7837;M
180;12;35.2;0.237406405;7812;M
181;16;35.2;0.237242935;7812;M
182;17.5;35.2;0.431106396;7812;M
183;50.5;36.2;0.027557814;7812;M
184;32;36.2;0;7812;M
185;30;36.2;0;7812;M
186;22;33.3;0.168629991;7812;M
187;19;33.3;0.236707636;7812;M
188;18;33.3;0.049486402;7812;M
189;13.25;33.3;0.141039154;7812;M
190;10.75;33.3;0.062345767;7812;M
191;15;33.3;0;7812;M
192;97.33333333;20.4;0.326311406;7812;M
193;117.625;20.4;0.165759157;7812;M
194;126.75;20.4;0.397438996;7812;M
195;9.166666667;20.4;0.23112908;7812;M
196;14;20.4;0.185320106;7812;M
197;18.5;20.4;0.006256416;7812;M
198;20.25;48.8;0.028143654;7812;M
199;23.5;48.8;0.071363008;7812;M
200;16.25;48.8;0;7812;M
201;38;44.6;12.7954416;7725;S
202;49;44.6;11.4215876;7725;S
203;54;44.6;12.3812087;7725;S
204;50;63.3;1.279049624;7692;S
205;33;63.3;0.368641867;7692;S
206;15;30.1;0.005567989;7783;M
207;15;30.1;0.001052218;7783;M
208;22;30.1;0.001578328;7783;M
209;180;30.1;0.06365;7711;M
210;22;30.1;0.05602465;7711;M
211;22;35.2;0.099314518;7813;L
212;18;35.2;0.403094987;7813;L
213;19;35.2;0.021768514;7813;L
214;18;33.3;0.010326991;7813;L
215;16;33.3;0.272181106;7813;L
216;29;33.3;0;7813;L
217;20;33.3;0.246693563;7813;L
218;10;33.3;0.032672564;7813;L
219;17;33.3;0.012482594;7813;L
220;15;20.4;0.00616413;7813;L
221;20;48.8;0.02536099;7813;L
222;20;48.8;0.028846144;7813;L
223;31;48.8;0.008969615;7813;L
224;42;28.8;0.279225006;7855;M
225;87;28.8;0.281257649;7855;M
226;261;28.8;0.007857567;7855;M
227;28;63.3;0.077846;8212;S
228;23;33.3;4.418570044;7675;S
229;25;33.3;3.531885161;7675;S
230;16;20.4;0.029381873;7675;S
231;18;20.4;0.022834715;7675;S
232;30;57.5;3.463128087;7876;M
233;24;57.5;3.533373552;7876;M
234;20;41.3;1.121394842;7860;M
235;2000;41.3;0.022300068;7860;M
236;27.5;44.2;0.049195809;7870;L
237;20;44.2;0.377267846;7870;L
238;28;44.2;2.399571278;7857;M
239;25;44.2;0.622664498;7857;M
240;61.33333333;84.5;0.509656;8251;L
241;45;38.1;6.967675;8229;M
242;19.5;33.6;0.718109641;7762;M
243;32;37.5;2.911405854;7762;M
244;19.5;37.5;1.515490349;7762;M
245;32.5;30.2;0.030584484;7762;M
246;37;30.2;0.012375345;7762;M
247;23;35.2;0.526673091;7670;M
248;19;35.2;0.040715041;7670;M
249;13;35.2;0.067734978;7670;M
250;15;33.3;0.141482754;7670;M
251;17;33.3;0.08680053;7670;M
252;16;33.3;0.054286721;7670;M
253;16;33.3;0.907681285;7670;M
254;16;33.3;0.00100531;7670;M
255;12;33.3;0.012259192;7670;M
256;15;20.4;0.244081424;7670;M
257;12;20.4;0.087495416;7670;M
258;16;20.4;0;7670;M
259;13.1;48.8;0.434943512;7670;M
260;16;48.8;0.324832016;7670;M
261;19.9;41.7;0.009;8233;M
262;90;29.9;31.274;8239;S
263;27.5;58.9;0.180011402;7856;L
264;32;58.9;0.063466111;7856;L
265;19;58.9;0.043365737;7856;L
266;28;58.3;0.0295;7856;L
267;41;58.3;0.0682;7856;L
268;56;62.4;0.00416;7856;L
269;39;62.4;0.015005581;7856;L
270;29;62.4;0.529134944;7856;L
271;20;54.2;0.261278303;7698;M
272;102;54.2;0.123544729;7698;M
273;30;35.2;1.066939612;7861;L
274;23.33333333;35.2;0.100755123;7861;L
275;26.66666667;61.3;0.17341147;7861;L
276;31;61.3;0.348482037;7861;L
277;29;43.3;2.9104;7663;M
278;28;43.3;2.481;7663;M
279;28;43.3;6.69383;7663;M
280;1570;59.4;9.062930031;7890;M
281;28;105.7;0;8263;VS
282;107;28.8;0.267008645;8263;VS
283;136;28.8;0.186390207;8263;VS
284;131;28.8;1.306381327;8263;VS
285;49;93.8;1.050293973;7801;M
286;15;93.8;0.01246896;7801;M
287;28;93.8;0.062001754;7801;M
288;29;63.3;1.974144668;7815;S
289;29;63.3;2.39448384;7815;S
290;36;40.3;0.598388;8238;L
291;45;38.1;0.98568205;8244;M
292;94;38.1;1.72528;8218;M
293;40;63.3;7.625350403;7687;S
294;43;63.3;8.465778807;7687;S
295;72;38.7;3.719326002;7740;M
296;100;38.7;4.260659525;7740;M
297;99;39.9;2.733711211;7740;M
298;74;39.9;1.687039841;7740;M
299;62;34.4;4.623;7740;M
300;48;34.4;3.6898;7740;M
301;58;34.4;0.9386;7740;M
302;54;52.7;2.058068313;7740;M
303;81;52.7;0.146542249;7740;M
304;77;52.7;0.900938513;7740;M
305;70;48.1;2.245195975;7740;M
306;76;48.1;2.159229619;7740;M
307;68;48.1;1.242261701;7740;M
308;85;50.8;3.024682797;7740;M
309;93;50.8;2.266245062;7740;M
310;71;50.8;1.499623225;7740;M
311;54;79.8;2.98711096;7740;M
312;73;79.8;3.2312528;7740;M
313;58;79.8;0.664408086;7740;M
314;68.5;44.1;4.061072816;7740;M
315;64;44.1;7.935159125;7740;M
316;94;57.6;1.94;7740;M
317;95;57.6;5.682;7740;M
318;76;57.6;1.953;7740;M
319;31;33.3;1.647941817;7745;M
320;25.5;33.3;0.249806684;7745;M
321;26;37.5;2.077156382;7656;M
322;31;37.5;3.75118044;7656;M
323;34;37.5;5.896664335;7656;M
324;24;26.4;0.057828406;7784;S
325;26;26.4;0.175645588;7784;S
326;23;26.4;0.1277;7784;S
327;32;63.3;0.675838962;7715;M
328;29;63.3;0.927645072;7715;M
329;52;63.3;0.268147403;7871;M
330;40;63.3;0.781251083;7871;M
331;358;58.9;1.8408549;8254;M
332;45;65.1;0.19122;8222;M
333;60.33333333;65.1;0.5546;8222;M
334;11.5;23.6;0.1926;8224;M
335;12.9;33.4;3.823763984;8295;M
336;21.4;33.4;1.683743952;8295;M
337;10;33.4;0.1066219;8295;M
338;7.6;40.5;0.009007406;8295;M
339;8.1;40.5;0.00046071;8295;M
340;13.3;40.5;0.427751279;8295;M
341;170;37.3;0.0259107;7859;S
342;42;37.3;1.6592748;7859;S
343;44;37.3;2.2339791;7859;S
344;60;63.3;0.21342959;7867;M
345;78;63.3;0.484992277;7867;M
346;40;63.3;3.346157774;7867;M
347;65;64.7;0.765062181;7873;M
348;76;64.7;2.98128661;7873;M
349;56;90.4;1.066682482;7853;L
350;95;90.4;1.024296786;7853;L
351;37;90.4;0.42833311;7853;L
352;70;37.9;0.368421566;7853;L
353;120;37.9;3.385181156;7853;L
354;60;37.9;0.048604576;7853;L
355;219;34.5;0.391;7853;L
356;130;33.3;3.618216372;7853;L
357;50;33.3;0.221262896;7853;L
358;140;20.4;1.219;7853;L
359;60;20.4;2.991296005;7853;L
360;50;20.4;0.020950527;7853;L
361;29.5;72.9;1.133387788;7810;L
362;44.5;72.9;0.721585253;7810;L
363;20.5;72.9;0.166349837;7810;L
364;26;50.3;13.76569883;7780;M
365;42;50.3;10.82319549;7780;M
366;970;59.4;0.220131952;7962;M
367;30;37.9;6.102347157;7852;S
368;40;37.9;0.8344014;7852;S
369;69;40.3;9.282564;8240;M
370;39;72.9;0.223458579;7851;M
371;49;72.9;0.189608483;7851;M
372;34;72.9;0.256200813;7851;M
373;208;45.9;0.550599052;7943;M
374;153;26.2;0.602116851;8281;S
375;128;26.2;2.78737544;8281;S
376;199;63.4;12.77861148;8281;S
377;20;57.5;0.814246987;7862;S
378;25;57.5;0.672542677;7862;S
379;16.9;30.2;0.057643318;7862;S
380;16.9;30.2;1.252481715;7862;S
381;17.8;30.2;0.008179262;7862;S
382;43;33.3;1.053;7757;S
383;48;33.3;0.59442;7757;S
384;75;49.9;3.246244375;7832;M
385;60;49.9;4.869940179;7832;M
386;32;72.9;0.105788782;7741;M
387;35;72.9;0.079713489;7741;M
388;33.5;66.5;0.09317;8250;M
389;80;59.4;16.12271;8237;VS
390;49.66666667;39.3;2.384;8227;M
391;22;94.2;0.3051;8221;M
392;37.5;94.2;0.8804;8221;M
393;90;37.3;1.8181028;7788;S
394;21;37.3;0.2429899;7788;S
395;15;37.3;0.150584;7788;S
396;37;64.7;4.593388176;7728;M
397;41;64.7;6.386059163;7728;M
398;38;66.5;0.107315;8252;M
399;30;35.2;0.115729138;7755;S
400;34.5;35.2;0.217498432;7755;S
401;26;60.7;4.428431136;161;S
402;90;60.7;0.27519691;161;S
403;50;63.3;5.220221961;7701;M
404;29;63.3;1.42121226;7701;M
405;150;72.9;0.052515301;7712;M
406;170;72.9;0.042752546;7712;M
407;77;72.9;0.042364255;7712;M
408;42;95.5;2.141689595;7674;S
409;24;95.5;0.067507824;7674;S
410;18;95.5;0.034978745;7674;S
411;11.38;91.5;0.002595749;8320;VS
412;6.9;91.5;0;8320;VS
413;20;35.2;0.147045133;7686;M
414;20;35.2;0.133255625;7686;M
415;16;61.3;0.099164905;7686;M
416;21;61.3;0.204349083;7686;M
417;12;85.1;0.057941151;7845;S
418;19;85.1;0.06815398;7845;S
419;30;35.2;7.320075369;7768;S
420;20;35.2;5.049343313;7768;S
421;100;55.1;4.941;7830;M
422;74.5;55.1;0.2286;7830;M
423;30;35.2;4.798804907;7694;M
424;20;35.2;2.161221756;7694;M
425;30;35.2;0.393949018;7694;M
426;37;79.4;0.175023;8215;S
427;120;58.9;0.894454;8247;S
428;96.7;43.6;19.32791479;8300;M
429;70;43.6;1.913893007;8300;M
430;64.8;43.6;33.67575576;8300;M
431;43;30.1;1.262917959;7849;S
432;85;30.1;0.768271721;7849;S
433;24;35.2;0.514862719;7739;S
434;27;35.2;0.662599824;7739;S
435;78.5;59.4;0.094784281;7951;S
436;28;79.4;0.013156;8245;S
437;30;38.1;4.058781;8226;M
438;54;38.1;3.160045;8226;M
439;50;41.3;6.914339121;7807;M
440;70;41.3;9.214680802;7807;M
441;40;41.3;2.920145171;7807;M
442;193.5;41;2.044979084;7928;M
443;70;33.3;0.586250058;7798;M
444;71;33.3;0.910122468;7798;M
445;45;72.9;1.241505728;7713;M
446;59;72.9;0.694179195;7713;M
447;46;72.9;0.25881191;7713;M
448;47;44.2;9.579517262;7805;S
