SampleID;x1;x2;y; 
1;0.736946258;780;1.05;
2;0.764777728;780;0.989;
3;0.801291806;3100;0.877;
4;0.794326321;3100;0.931;
5;0.604319049;160;0.921;
6;0.557485081;160;0.906;
7;0.589086095;2445;1.05538296;
8;0.446840241;2445;1.069;
9;0.389647963;10;1.041;
10;0.429137446;10;1.016;
11;1.050164347;1186;0.79;
12;1.069730342;1186;0.811;
13;0.563305253;1035;0.96;
14;0.640502706;1035;0.995;
15;1.314270227;1005;0.865;
16;1.087670773;1005;0.924;
17;1.234774184;2877;0.912;
18;1.230735095;2877;0.842;
19;0.5237387;1350;0.921197;
20;0.649999645;1350;0.94;
21;0.5237387;1350;0.988493771;
22;0.516610293;1350;0.965;
23;0.658812282;430;0.875;
24;0.803881131;1940;0.741;
25;0.907816304;1940;0.754;
26;0.480235688;1110;1.021;
27;0.548562498;1110;1.022;
28;0.884490597;1325;1.035;
29;0.81195904;1325;1.005;
30;0.727781459;130;1.06849995;
31;0.741917644;130;1.171;
32;0.486716765;845;0.999535262;
33;0.351538151;360;1.038287349;
34;0.422118023;360;0.888;
35;0.664803317;60;0.938;
36;0.877763414;60;0.799;
37;0.699172286;2944;0.881;
38;0.485023084;615;0.904304368;
39;0.712456893;615;0.889;
40;0.478075315;615;0.842;
41;0.819274853;2980;0.854;
42;0.648504044;780;1.056;
43;1.092512117;3430;0.929;
44;0.591170273;50;1.029;
45;0.405406723;210;1.005;
46;0.954455311;3235;0.668;
47;0.985369921;3235;0.662;
48;0.863295623;1840;0.939;
49;0.636700133;1360;0.78;
50;1.171251911;1161;0.815;
51;0.762114975;3795;0.964;
52;0.812276186;3795;0.938;
53;0.709642789;2995;0.959;
54;0.428867087;230;1.126;
55;0.714731562;430;0.71;
56;1.278054554;2770;0.862;
57;0.391370333;1135;1.119;
58;0.226973091;1135;1.078624507;
59;0.503040454;180;1.020157498;
60;0.503040454;180;0.994;
61;0.30388678;2930;0.87;
62;0.428867087;2930;0.912;
63;0.400288626;460;1.067;
64;0.523622852;710;0.973;
65;0.433480765;2570;0.97455108;
66;0.42789566;2570;1.03;
67;0.477647433;2570;1.027;
68;0.458869735;1920;1.027839962;
69;0.350847276;1920;1.053;
70;0.310815357;1920;1.045454856;
71;0.310815357;1920;1.062;
72;0.410591567;1920;1.076033438;
73;0.315686198;1920;1.03;
74;0.354814339;0;1.064;
75;0.404597445;0;1.046;
76;0.514976986;315;1.057;
77;0.39507978;315;1.011219167;
78;0.751424922;950;1.001;
79;0.708122404;950;0.925984882;
80;0.630337665;370;1.125;
81;0.58221515;370;1.04532025;
82;0.5237387;20;1.036500681;
83;0.5237387;20;1.094;
84;0.44154114;20;1.123;
85;0.336920295;1601;1.07;
86;0.332139339;1601;1.112441508;
87;0.216386817;1601;0.99;
88;0.372813097;910;0.982923706;
89;0.300593443;910;0.984;
90;0.416778843;700;1.042;
